trade_date,bar_ts,nav,margin_by_future,cash,pnl,pnl_future,pnl_call,pnl_put,pnl_option,cash_future,cash_call,cash_put,cash_option,nav_future,nav_call,nav_put,nav_option,capital_used,capital_future,capital_call,capital_put,capital_option,future_ts_code,call_ts_code,put_ts_code,fee,fee_future,fee_call,fee_put,fee_option,slippage,name
2025-09-19,2025-09-19T15:00:00.000000,993403.7064648372,1411.4816385643496,983067.2248262736,0.0,0.0,0.0,0.0,0.0,-1416.1865773595641,-4202.1,-4727.3625,-8929.4625,-4.704938795214499,-2.1,-2.3625000000000003,-4.4625,10336.48163856435,1411.4816385643496,4200.0,4725.0,8925.0,AG2511.SHF,AG2511C10000.SHF,AG2511P10000.SHF,9.1674387952145,4.704938795214499,2.1,2.3625000000000003,4.4625,0.9408936696764024,open
2025-09-22,2025-09-22T15:00:00.000000,995013.0816281317,1396.8515295780799,983408.7300985544,1609.5865163346452,327.0865163346453,3007.5,-1725.0,1282.5,341.505272280789,0.0,0.0,0.0,326.8751632945192,3007.5,-1725.0,1282.5,,1396.8515295780799,7207.5,3000.0,10207.5,AG2511.SHF,AG2511C10000.SHF,AG2511P10000.SHF,0.21135304012606135,0.21135304012606135,0.0,0.0,0.0,0.042274835508744384,mtm
2025-09-23,2025-09-23T15:00:00.000000,995470.4511233588,6776.834146015161,978028.6169773444,484.62867712789495,27.128677127894946,382.5,75.0,457.5,-5380.113121209961,0.0,0.0,0.0,-0.1305047728792843,382.5,75.0,457.5,,6776.834146015161,7590.0,3075.0,10665.0,AG2511.SHF,AG2511C10000.SHF,AG2511P10000.SHF,27.25918190077423,27.25918190077423,0.0,0.0,0.0,5.452381618317492,mtm
2025-09-24,2025-09-24T15:00:00.000000,995745.5967591299,10519.631336880817,974080.9654222499,287.52539873042576,-192.4746012695742,847.5,-367.5,480.0,-3947.6515550945437,0.0,0.0,0.0,-204.85436422888833,847.5,-367.5,480.0,,10519.631336880817,8437.5,2707.5,11145.0,AG2511.SHF,AG2511C10000.SHF,AG2511P10000.SHF,12.379762959314123,12.379762959314123,0.0,0.0,0.0,2.4762002118839153,mtm
2025-09-25,2025-09-25T15:00:00.000000,995277.8358753589,10444.78194744994,974040.5539279097,-467.44689282352437,-114.94689282352437,-127.5,-225.0,-352.5,-40.41149434010954,0.0,0.0,0.0,-115.26088377098718,-127.5,-225.0,-352.5,,10444.78194744994,8310.0,2482.5,10792.5,AG2511.SHF,AG2511C10000.SHF,AG2511P10000.SHF,0.3139909474628058,0.3139909474628058,0.0,0.0,0.0,0.06279191030157145,mtm
2025-09-26,2025-09-26T15:00:00.000000,996058.1053102796,10751.243412261234,972219.3618980191,780.540781742367,-1514.459218257633,2790.0,-495.0,2295.0,-1821.1920298905131,0.0,0.0,0.0,-1514.7305650792184,2790.0,-495.0,2295.0,,10751.243412261234,11100.0,1987.5,13087.5,AG2511.SHF,AG2511C10000.SHF,AG2511P10000.SHF,0.2713468215855374,0.2713468215855374,0.0,0.0,0.0,0.05427479179624053,mtm
2025-09-29,2025-09-29T15:00:00.000000,997763.4574484074,14498.213701490293,966367.7437469178,1716.7955415228903,-2093.2044584771097,4215.0,-405.0,3810.0,-5851.618151101249,0.0,0.0,0.0,-2104.647861872191,4215.0,-405.0,3810.0,,14498.213701490293,15315.0,1582.5,16897.5,AG2511.SHF,AG2511C10000.SHF,AG2511P10000.SHF,11.443403395081244,11.443403395081244,0.0,0.0,0.0,2.288909569973136,mtm
2025-09-30,2025-09-30T15:00:00.000000,996956.8733416918,15349.876824924324,965751.9965167681,-803.625804483409,238.8741955165911,-975.0,-67.5,-1042.5,-615.747230149602,0.0,0.0,0.0,235.91589328442916,-975.0,-67.5,-1042.5,,15349.876824924324,14340.0,1515.0,15855.0,AG2511.SHF,AG2511C10000.SHF,AG2511P10000.SHF,2.9583022321619423,2.9583022321619423,0.0,0.0,0.0,0.5917196183937032,mtm
2025-10-09,2025-10-09T15:00:00.000000,996817.1705429935,22711.25242976161,955963.4181132325,-116.36669316876714,-2403.866693168767,3412.5,-1125.0,2287.5,-9788.578403535595,0.0,0.0,0.0,-2427.2027986983085,3412.5,-1125.0,2287.5,,22711.25242976161,17752.5,390.0,18142.5,AG2511.SHF,AG2511C10000.SHF,AG2511P10000.SHF,23.336105529541236,23.336105529541236,0.0,0.0,0.0,4.667687874695229,mtm
2025-10-10,2025-10-10T15:00:00.000000,995926.0982134494,22822.01691399008,957114.0812994598,-890.0719636999829,1262.428036300017,-2242.5,90.0,-2152.5,1150.6631862273725,0.0,0.0,0.0,1261.4276704558406,-2242.5,90.0,-2152.5,,22822.01691399008,15510.0,480.0,15990.0,AG2511.SHF,AG2511C10000.SHF,AG2511P10000.SHF,1.0003658441764365,1.0003658441764365,0.0,0.0,0.0,0.20009317815313368,mtm
