trade_date,bar_ts,nav,pnl,pnl_future,pnl_call,pnl_put,pnl_option,cash,cash_future,cash_call,cash_put,cash_option,future_ts_code,future_pnl,future_notional,call_ts_code,call_pnl,call_notional,put_ts_code,put_pnl,put_notional,option_pnl,option_notional,fee,fee_future,fee_call,fee_put,fee_option,slippage,name
2025-08-06,2025-08-06T15:00:00.000000,974583.5401585277,-621.9741474461814,98.02585255381854,427.5,-1147.5,-720.0,957271.3238877198,0.0,0.0,0.0,0.0,AG2509.SHF,98.02585255381854,8810.794276602042,AG2509C9300.SHF,427.5,1440.0,AG2509P9300.SHF,-1147.5,3375.0,-720.0,4815.0,0.0,0.0,0.0,0.0,0.0,0.0,mtm
2025-08-07,2025-08-07T15:00:00.000000,974508.5011045983,-75.03905392943284,74.96094607056712,495.0,-645.0,-150.0,957196.2848337904,0.0,0.0,0.0,0.0,AG2509.SHF,74.96094607056712,8885.75522267261,AG2509C9300.SHF,495.0,1935.0,AG2509P9300.SHF,-645.0,2730.0,-150.0,4665.0,0.0,0.0,0.0,0.0,0.0,0.0,mtm
2025-08-08,2025-08-08T15:00:00.000000,974117.1439355413,-391.3571690570195,21.142830942980467,-45.0,-367.5,-412.5,956804.9276647334,0.0,0.0,0.0,0.0,AG2509.SHF,21.142830942980467,8906.89805361559,AG2509C9300.SHF,-45.0,1890.0,AG2509P9300.SHF,-367.5,2362.5,-412.5,4252.5,0.0,0.0,0.0,0.0,0.0,0.0,mtm
2025-08-11,2025-08-11T15:00:00.000000,973780.832329402,-336.3116061393479,-66.31160613934783,-712.5,442.5,-270.0,956468.6160585941,0.0,0.0,0.0,0.0,AG2509.SHF,-66.31160613934783,8840.586447476242,AG2509C9300.SHF,-712.5,1177.5,AG2509P9300.SHF,442.5,2805.0,-270.0,3982.5,0.0,0.0,0.0,0.0,0.0,0.0,mtm
2025-08-12,2025-08-12T15:00:00.000000,973496.2284606888,-284.60386871311596,-22.103868713115943,-232.5,-30.0,-262.5,956184.012189881,0.0,0.0,0.0,0.0,AG2509.SHF,-22.103868713115943,8818.482578763127,AG2509C9300.SHF,-232.5,945.0,AG2509P9300.SHF,-30.0,2775.0,-262.5,3720.0,0.0,0.0,0.0,0.0,0.0,0.0,mtm
2025-08-13,2025-08-13T15:00:00.000000,973295.4036531738,-200.82480751496223,106.67519248503781,712.5,-1020.0,-307.5,955983.1873823659,0.0,0.0,0.0,0.0,AG2509.SHF,106.67519248503781,8925.157771248165,AG2509C9300.SHF,712.5,1657.5,AG2509P9300.SHF,-1020.0,1755.0,-307.5,3412.5,0.0,0.0,0.0,0.0,0.0,0.0,mtm
2025-08-14,2025-08-14T15:00:00.000000,973083.2932754725,-212.11037770135476,-9.610377701354759,-210.0,7.5,-202.5,955771.0770046646,0.0,0.0,0.0,0.0,AG2509.SHF,-9.610377701354759,8915.547393546809,AG2509C9300.SHF,-210.0,1447.5,AG2509P9300.SHF,7.5,1762.5,-202.5,3210.0,0.0,0.0,0.0,0.0,0.0,0.0,mtm
2025-08-15,2025-08-15T15:00:00.000000,973203.1440272408,119.85075176834903,-82.64924823165092,-525.0,727.5,202.5,955890.9277564329,0.0,0.0,0.0,0.0,AG2509.SHF,-82.64924823165092,8832.89814531516,AG2509C9300.SHF,-525.0,922.5,AG2509P9300.SHF,727.5,2490.0,202.5,3412.5,0.0,0.0,0.0,0.0,0.0,0.0,mtm
2025-08-18,2025-08-18T15:00:00.000000,972776.9621423684,-426.1818848724133,53.818115127586644,150.0,-630.0,-480.0,955464.7458715605,0.0,0.0,0.0,0.0,AG2509.SHF,53.818115127586644,8886.716260442745,AG2509C9300.SHF,150.0,1072.5,AG2509P9300.SHF,-630.0,1860.0,-480.0,2932.5,0.0,0.0,0.0,0.0,0.0,0.0,mtm
2025-08-19,2025-08-19T15:00:00.000000,972513.7284606888,-263.2336816796188,-68.23368167961878,-622.5,427.5,-195.0,955201.512189881,0.0,0.0,0.0,0.0,AG2509.SHF,-68.23368167961878,8818.482578763127,AG2509C9300.SHF,-622.5,450.0,AG2509P9300.SHF,427.5,2287.5,-195.0,2737.5,0.0,0.0,0.0,0.0,0.0,0.0,mtm
2025-08-20,2025-08-20T15:00:00.000000,968187.7019190609,0.0,0.0,0.0,0.0,0.0,968187.7019190609,8680.186072215989,120.0,4192.5,4312.5,AG2509.SHF,0.0,0.0,AG2509C9300.SHF,0.0,0.0,AG2509P9300.SHF,0.0,0.0,0.0,0.0,6.496343036107994,4.340093036107994,0.06,2.09625,2.15625,0.8681054177633221,close
2025-08-20,2025-08-20T15:00:00.000000,968165.1937036432,0.0,0.0,0.0,0.0,0.0,923148.762868224,-38776.43083541924,-3480.0,-2760.0,-6240.0,AG2510.SHF,0.0,38776.43083541924,AG2510C9000.SHF,0.0,3480.0,AG2510P9000.SHF,0.0,2760.0,0.0,6240.0,22.508215417709618,19.38821541770962,1.74,1.3800000000000001,3.12,3.878030886626455,open
2025-08-21,2025-08-21T15:00:00.000000,967890.5247074082,-274.6689962349817,-514.6689962349817,975.0,-735.0,240.0,922874.0938719889,0.0,0.0,0.0,0.0,AG2510.SHF,-514.6689962349817,-39294.97786254084,AG2510C9000.SHF,975.0,4455.0,AG2510P9000.SHF,-735.0,2025.0,240.0,6480.0,0.0,0.0,0.0,0.0,0.0,0.0,mtm
2025-08-22,2025-08-22T15:00:00.000000,968031.8574583494,141.33275094125457,-128.66724905874543,345.0,-75.0,270.0,923015.4266229302,0.0,0.0,0.0,0.0,AG2510.SHF,-128.66724905874543,-39423.64511159959,AG2510C9000.SHF,345.0,4800.0,AG2510P9000.SHF,-75.0,1950.0,270.0,6750.0,0.0,0.0,0.0,0.0,0.0,0.0,mtm
2025-08-25,2025-08-25T15:00:00.000000,968687.9979813539,656.1405230044475,-866.3594769955524,2265.0,-742.5,1522.5,923671.5671459347,0.0,0.0,0.0,0.0,AG2510.SHF,-866.3594769955524,-40290.00458859514,AG2510C9000.SHF,2265.0,7065.0,AG2510P9000.SHF,-742.5,1207.5,1522.5,8272.5,0.0,0.0,0.0,0.0,0.0,0.0,mtm
2025-08-26,2025-08-26T15:00:00.000000,968282.0543134322,-405.9436679216728,171.55633207832722,-585.0,7.5,-577.5,923265.623478013,0.0,0.0,0.0,0.0,AG2510.SHF,171.55633207832722,-40118.448256516815,AG2510C9000.SHF,-585.0,6480.0,AG2510P9000.SHF,7.5,1215.0,-577.5,7695.0,0.0,0.0,0.0,0.0,0.0,0.0,mtm
2025-08-27,2025-08-27T15:00:00.000000,967787.2108202281,-494.8434932040492,210.1565067959508,-675.0,-30.0,-705.0,922770.7799848089,0.0,0.0,0.0,0.0,AG2510.SHF,210.1565067959508,-39908.29174972087,AG2510C9000.SHF,-675.0,5805.0,AG2510P9000.SHF,-30.0,1185.0,-705.0,6990.0,0.0,0.0,0.0,0.0,0.0,0.0,mtm
2025-08-28,2025-08-28T15:00:00.000000,968168.4094224871,381.19860225901107,-308.801397740989,870.0,-180.0,690.0,923151.9785870679,0.0,0.0,0.0,0.0,AG2510.SHF,-308.801397740989,-40217.093147461856,AG2510C9000.SHF,870.0,6675.0,AG2510P9000.SHF,-180.0,1005.0,690.0,7680.0,0.0,0.0,0.0,0.0,0.0,0.0,mtm
2025-08-29,2025-08-29T15:00:00.000000,968197.3092477695,28.899825282376383,-38.600174717623624,105.0,-37.5,67.5,923180.8784123503,0.0,0.0,0.0,0.0,AG2510.SHF,-38.600174717623624,-40255.69332217948,AG2510C9000.SHF,105.0,6780.0,AG2510P9000.SHF,-37.5,967.5,67.5,7747.5,0.0,0.0,0.0,0.0,0.0,0.0,mtm
2025-09-01,2025-09-01T15:00:00.000000,970556.4239183078,2359.114670538268,-1668.385329461732,4492.5,-465.0,4027.5,925539.9930828885,0.0,0.0,0.0,0.0,AG2510.SHF,-1668.385329461732,-41924.078651641204,AG2510C9000.SHF,4492.5,11272.5,AG2510P9000.SHF,-465.0,502.5,4027.5,11775.0,0.0,0.0,0.0,0.0,0.0,0.0,mtm
2025-09-02,2025-09-02T15:00:00.000000,971718.7674115119,1162.343493204049,-210.1565067959508,1402.5,-30.0,1372.5,926702.3365760926,0.0,0.0,0.0,0.0,AG2510.SHF,-210.1565067959508,-42134.23515843716,AG2510C9000.SHF,1402.5,12675.0,AG2510P9000.SHF,-30.0,472.5,1372.5,13147.5,0.0,0.0,0.0,0.0,0.0,0.0,mtm
2025-09-03,2025-09-03T15:00:00.000000,971765.9230447197,47.15563320783272,17.15563320783272,60.0,-30.0,30.0,926749.4922093005,0.0,0.0,0.0,0.0,AG2510.SHF,17.15563320783272,-42117.07952522933,AG2510C9000.SHF,60.0,12735.0,AG2510P9000.SHF,-30.0,442.5,30.0,13177.5,0.0,0.0,0.0,0.0,0.0,0.0,mtm
2025-09-04,2025-09-04T15:00:00.000000,971525.0017349118,-240.92130980796554,201.57869019203446,-457.5,15.0,-442.5,926508.5708994926,0.0,0.0,0.0,0.0,AG2510.SHF,201.57869019203446,-41915.500835037295,AG2510C9000.SHF,-457.5,12277.5,AG2510P9000.SHF,15.0,457.5,-442.5,12735.0,0.0,0.0,0.0,0.0,0.0,0.0,mtm
2025-09-05,2025-09-05T15:00:00.000000,971500.2343111355,-24.767423776369014,-167.26742377636901,157.5,-15.0,142.5,926483.8034757163,0.0,0.0,0.0,0.0,AG2510.SHF,-167.26742377636901,-42082.76825881366,AG2510C9000.SHF,157.5,12435.0,AG2510P9000.SHF,-15.0,442.5,142.5,12877.5,0.0,0.0,0.0,0.0,0.0,0.0,mtm
2025-09-08,2025-09-08T15:00:00.000000,971323.4454028335,-176.78890830195817,-4.28890830195818,-75.0,-97.5,-172.5,926307.0145674143,0.0,0.0,0.0,0.0,AG2510.SHF,-4.28890830195818,-42087.05716711562,AG2510C9000.SHF,-75.0,12360.0,AG2510P9000.SHF,-97.5,345.0,-172.5,12705.0,0.0,0.0,0.0,0.0,0.0,0.0,mtm
2025-09-09,2025-09-09T15:00:00.000000,971496.9114288689,173.46602603538005,-141.53397396461995,390.0,-75.0,315.0,926480.4805934497,0.0,0.0,0.0,0.0,AG2510.SHF,-141.53397396461995,-42228.59114108024,AG2510C9000.SHF,390.0,12750.0,AG2510P9000.SHF,-75.0,270.0,315.0,13020.0,0.0,0.0,0.0,0.0,0.0,0.0,mtm
2025-09-10,2025-09-10T15:00:00.000000,971148.8568439668,-348.054584902091,214.445415097909,-547.5,-15.0,-562.5,926132.4260085475,0.0,0.0,0.0,0.0,AG2510.SHF,214.445415097909,-42014.14572598233,AG2510C9000.SHF,-547.5,12202.5,AG2510P9000.SHF,-15.0,255.0,-562.5,12457.5,0.0,0.0,0.0,0.0,0.0,0.0,mtm
2025-09-11,2025-09-11T15:00:00.000000,971080.2790273628,-68.57781660391636,-8.57781660391636,-52.5,-7.5,-60.0,926063.8481919436,0.0,0.0,0.0,0.0,AG2510.SHF,-8.57781660391636,-42022.72354258625,AG2510C9000.SHF,-52.5,12150.0,AG2510P9000.SHF,-7.5,247.5,-60.0,12397.5,0.0,0.0,0.0,0.0,0.0,0.0,mtm
2025-09-12,2025-09-12T15:00:00.000000,972928.8077597987,1848.5287324359113,-1016.4712675640887,2985.0,-120.0,2865.0,927912.3769243795,0.0,0.0,0.0,0.0,AG2510.SHF,-1016.4712675640887,-43039.19481015034,AG2510C9000.SHF,2985.0,15135.0,AG2510P9000.SHF,-120.0,127.5,2865.0,15262.5,0.0,0.0,0.0,0.0,0.0,0.0,mtm
2025-09-15,2025-09-15T15:00:00.000000,972908.5081092339,-20.299650564752753,77.20034943524725,-60.0,-37.5,-97.5,927892.0772738147,0.0,0.0,0.0,0.0,AG2510.SHF,77.20034943524725,-42961.99446071508,AG2510C9000.SHF,-60.0,15075.0,AG2510P9000.SHF,-37.5,90.0,-97.5,15165.0,0.0,0.0,0.0,0.0,0.0,0.0,mtm
2025-09-16,2025-09-16T15:00:00.000000,973995.7174537558,1087.2093445218056,-390.29065547819437,1477.5,0.0,1477.5,928979.2866183366,0.0,0.0,0.0,0.0,AG2510.SHF,-390.29065547819437,-43352.285116193285,AG2510C9000.SHF,1477.5,16552.5,AG2510P9000.SHF,0.0,90.0,1477.5,16642.5,0.0,0.0,0.0,0.0,0.0,0.0,mtm
2025-09-17,2025-09-17T15:00:00.000000,972147.0769307513,-1848.6405230044475,866.3594769955524,-2805.0,90.0,-2715.0,927130.6460953321,0.0,0.0,0.0,0.0,AG2510.SHF,866.3594769955524,-42485.925639197725,AG2510C9000.SHF,-2805.0,13747.5,AG2510P9000.SHF,90.0,180.0,-2715.0,13927.5,0.0,0.0,0.0,0.0,0.0,0.0,mtm
2025-09-18,2025-09-18T15:00:00.000000,970189.8899443432,-1957.1869864080984,420.3130135919016,-2310.0,-67.5,-2377.5,925173.459108924,0.0,0.0,0.0,0.0,AG2510.SHF,420.3130135919016,-42065.612625605834,AG2510C9000.SHF,-2310.0,11437.5,AG2510P9000.SHF,-67.5,112.5,-2377.5,11550.0,0.0,0.0,0.0,0.0,0.0,0.0,mtm
2025-09-19,2025-09-19T15:00:00.000000,982615.7352993923,0.0,0.0,0.0,0.0,0.0,982615.7352993923,42636.011696316455,14790.0,45.0,14835.0,AG2510.SHF,0.0,0.0,AG2510C9000.SHF,0.0,0.0,AG2510P9000.SHF,0.0,0.0,0.0,0.0,28.73550584815823,21.31800584815823,7.3950000000000005,0.0225,7.4175,4.26317485214899,close
2025-09-19,2025-09-19T15:00:00.000000,982606.567860597,0.0,0.0,0.0,0.0,0.0,964271.690270168,-9409.877590428998,-4200.0,-4725.0,-8925.0,AG2511.SHF,0.0,9409.877590428998,AG2511C10000.SHF,0.0,4200.0,AG2511P10000.SHF,0.0,4725.0,0.0,8925.0,9.1674387952145,4.704938795214499,2.1,2.3625000000000003,4.4625,0.9408936696764024,open
2025-09-22,2025-09-22T15:00:00.000000,984216.1543769317,1609.5865163346452,327.0865163346453,3007.5,-1725.0,1282.5,965881.2767865027,0.0,0.0,0.0,0.0,AG2511.SHF,327.0865163346453,9736.023213093964,AG2511C10000.SHF,3007.5,7207.5,AG2511P10000.SHF,-1725.0,3000.0,1282.5,10207.5,0.0,0.0,0.0,0.0,0.0,0.0,mtm
2025-09-23,2025-09-23T15:00:00.000000,984702.0144795041,485.8601025723681,28.36010257236809,382.5,75.0,457.5,966367.136889075,0.0,0.0,0.0,0.0,AG2511.SHF,28.36010257236809,9764.383315666333,AG2511C10000.SHF,382.5,7590.0,AG2511P10000.SHF,75.0,3075.0,457.5,10665.0,0.0,0.0,0.0,0.0,0.0,0.0,mtm
2025-09-24,2025-09-24T15:00:00.000000,985223.6092966102,521.5948171061399,41.594817106139864,847.5,-367.5,480.0,966888.7317061812,0.0,0.0,0.0,0.0,AG2511.SHF,41.594817106139864,9805.978132772474,AG2511C10000.SHF,847.5,8437.5,AG2511P10000.SHF,-367.5,2707.5,480.0,11145.0,0.0,0.0,0.0,0.0,0.0,0.0,mtm
