trade_date,bar_ts,future_ts_code,future_close,future_per_unit,call_ts_code,call_close,put_ts_code,put_close,option_per_unit,rate,ttm,iv_call_used,iv_put_used,delta_call,delta_put,combo_delta,target_future_position
2025-06-27,2025-06-27T15:00:00.000000,AG2508.SHF,8792.0,15.0,AG2508C8800.SHF,218.0,AG2508P8800.SHF,232.0,15.0,0.00016398730964467008,0.07671232876712329,0.2198229424655437,0.2229819986224174,0.4677439801216554,-0.532082684802065,-0.06433870468040959,0.06433870468040959
2025-06-30,2025-06-30T15:00:00.000000,AG2508.SHF,8762.0,15.0,AG2508C8800.SHF,194.5,AG2508P8800.SHF,231.5,15.0,0.000166951269035533,0.0684931506849315,0.22874640949070446,0.23505666367709632,0.4675345995294659,-0.5321380857078607,-0.06460348617839479,0.06460348617839479
2025-07-01,2025-07-01T15:00:00.000000,AG2508.SHF,8810.0,15.0,AG2508C8800.SHF,219.5,AG2508P8800.SHF,210.0,15.0,0.0001598238578680203,0.06575342465753424,0.23173949606716626,0.23075499132275576,0.4674407978302329,-0.5326092457977482,-0.06516844796751525,0.06516844796751525
2025-07-02,2025-07-02T15:00:00.000000,AG2508.SHF,8747.0,15.0,AG2508C8800.SHF,180.0,AG2508P8800.SHF,235.0,15.0,0.00015844263959390864,0.06301369863013699,0.23837446883320804,0.23903461083769798,0.5220618426587943,-0.47790542883524095,0.04415641382355334,-0.04415641382355334
2025-07-03,2025-07-03T15:00:00.000000,AG2508.SHF,8944.0,15.0,AG2508C8800.SHF,304.0,AG2508P8800.SHF,159.0,15.0,0.00015663147208121829,0.06027397260273973,0.23306256748735898,0.23544733121991154,0.46699635782173327,-0.5328875595709264,-0.0658912017491931,0.0658912017491931
2025-07-04,2025-07-04T15:00:00.000000,AG2508.SHF,8919.0,15.0,AG2508C8800.SHF,267.5,AG2508P8800.SHF,152.0,15.0,0.0001547730964467005,0.057534246575342465,0.25861638218164446,0.25750293001532565,0.5568325295436761,-0.4432201221081545,0.11361240743552165,-0.11361240743552165
2025-07-07,2025-07-07T15:00:00.000000,AG2508.SHF,8872.0,15.0,AG2508C8800.SHF,228.0,AG2508P8800.SHF,157.0,15.0,0.00015093502538071065,0.049315068493150684,0.2392922832816839,0.24374563232064245,0.641280799421336,-0.35853485175190836,0.2827459476694276,-0.2827459476694276
2025-07-08,2025-07-08T15:00:00.000000,AG2508.SHF,8926.0,15.0,AG2508C8800.SHF,251.0,AG2508P8800.SHF,128.5,15.0,0.00015084060913705583,0.04657534246575343,0.2419203227758407,0.24328624323010442,0.5548827689690499,-0.4450591057971069,0.10982366317194298,-0.10982366317194298
2025-07-09,2025-07-09T15:00:00.000000,AG2508.SHF,8879.0,15.0,AG2508C8800.SHF,211.5,AG2508P8800.SHF,144.5,15.0,0.00015003604060913705,0.043835616438356165,0.23694485306739807,0.24186925977468482,0.6406161651056851,-0.3591915337690075,0.2814246313366776,-0.2814246313366776
2025-07-10,2025-07-10T15:00:00.000000,AG2508.SHF,8893.0,15.0,AG2508C8800.SHF,214.0,AG2508P8800.SHF,125.0,15.0,0.00015004365482233504,0.0410958904109589,0.22889326751232142,0.24528131797909733,0.5537307296871405,-0.44561415098062807,0.10811657870651248,-0.10811657870651248
2025-07-11,2025-07-11T15:00:00.000000,AG2508.SHF,9016.0,15.0,AG2508C8800.SHF,316.5,AG2508P8800.SHF,90.5,15.0,0.0001514,0.038356164383561646,0.2288824144005775,0.2347167032957077,0.6397177544829553,-0.36006903196961393,0.2796487225133414,-0.2796487225133414
2025-07-14,2025-07-14T15:00:00.000000,AG2508.SHF,9179.0,15.0,AG2508C8800.SHF,425.0,AG2508P8800.SHF,51.0,15.0,0.00015264285714285713,0.030136986301369864,0.2725534975528716,0.255884422659874,0.7788026985982628,-0.21050691097218327,0.5682957876260795,-0.5682957876260795
2025-07-15,2025-07-15T15:00:00.000000,AG2508.SHF,9198.0,15.0,AG2508C8800.SHF,423.0,AG2508P8800.SHF,34.0,15.0,0.0001560142857142857,0.0273972602739726,0.27904090061783793,0.2900145530700683,0.789745245965604,-0.20999327254336522,0.5797519734222388,-0.5797519734222388
2025-07-16,2025-07-16T15:00:00.000000,AG2508.SHF,9125.0,15.0,AG2508C8800.SHF,353.0,AG2508P8800.SHF,31.5,15.0,0.00015197142857142858,0.024657534246575342,0.24388182997703547,0.269076409637928,0.8658551460618079,-0.1520958483978877,0.7137592976639202,-0.7137592976639202
2025-07-17,2025-07-17T15:00:00.000000,AG2508.SHF,9140.0,15.0,AG2508C8800.SHF,356.5,AG2508P8800.SHF,20.5,15.0,0.0001511,0.021917808219178082,0.2331333944201469,0.24355599939823147,0.8469917053252738,-0.15282667699493074,0.6941650283303431,-0.6941650283303431
2025-07-18,2025-07-18T15:00:00.000000,AG2508.SHF,9246.0,15.0,AG2508C8800.SHF,461.0,AG2508P8800.SHF,10.0,15.0,0.0001494,0.019178082191780823,0.21548664987087252,0.2310921791195869,0.8464378820541839,-0.15330735387733002,0.6931305281768538,-0.6931305281768538
2025-07-21,2025-07-21T15:00:00.000000,AG2509.SHF,9257.0,15.0,AG2509C9300.SHF,253.0,AG2509P9300.SHF,308.0,15.0,0.00015354315068493148,0.0958904109589041,0.2,0.2,0.46796540766214084,-0.5320345923378392,-0.06406918467569839,0.06406918467569839
2025-07-22,2025-07-22T15:00:00.000000,AG2509.SHF,9382.0,15.0,AG2509C9300.SHF,312.0,AG2509P9300.SHF,227.5,15.0,0.00015301780821917808,0.09315068493150686,0.2385552057623863,0.2491844498366117,0.47011831648338115,-0.5292376843150304,-0.05911936783164923,0.05911936783164923
2025-07-23,2025-07-23T15:00:00.000000,AG2509.SHF,9479.0,15.0,AG2509C9300.SHF,361.0,AG2509P9300.SHF,205.0,15.0,0.00015299342465753424,0.09041095890410959,0.2357923919707537,0.2337029010802507,0.5714966353648198,-0.42257966519933,0.14891697016548977,-0.14891697016548977
2025-07-24,2025-07-24T15:00:00.000000,AG2509.SHF,9353.0,15.0,AG2509C9300.SHF,277.5,AG2509P9300.SHF,241.5,15.0,0.00015364424657534245,0.08767123287671233,0.23219571225345131,0.2538677454739809,0.6442230988615768,-0.354584819901624,0.2896382789599528,-0.2896382789599528
2025-07-25,2025-07-25T15:00:00.000000,AG2509.SHF,9377.0,15.0,AG2509C9300.SHF,300.0,AG2509P9300.SHF,211.5,15.0,0.00015451342465753424,0.08493150684931507,0.22638440467417237,0.2419875764846801,0.5036368490136905,-0.4954638275530917,0.00817302146059884,-0.00817302146059884
2025-07-28,2025-07-28T15:00:00.000000,AG2509.SHF,9203.0,15.0,AG2509C9300.SHF,174.5,AG2509P9300.SHF,278.0,15.0,0.00015616598984771572,0.07671232876712329,0.23843220382928848,0.2279132848978042,0.5576408446135971,-0.44293276241684126,0.11470808219675582,-0.11470808219675582
2025-07-29,2025-07-29T15:00:00.000000,AG2509.SHF,9181.0,15.0,AG2509C9300.SHF,150.0,AG2509P9300.SHF,263.0,15.0,0.00015668578680203045,0.07397260273972603,0.2145855450630188,0.22107620999217034,0.4548528484874056,-0.5324123665697823,-0.07755951808237671,0.07755951808237671
2025-07-30,2025-07-30T15:00:00.000000,AG2509.SHF,9178.0,15.0,AG2509C9300.SHF,141.0,AG2509P9300.SHF,264.0,15.0,0.00015688324873096448,0.07123287671232877,0.2039133481681347,0.19771370083093642,0.379195473674705,-0.6211177765304464,-0.2419223028557414,0.2419223028557414
2025-07-31,2025-07-31T15:00:00.000000,AG2509.SHF,8997.0,15.0,AG2509C9300.SHF,74.5,AG2509P9300.SHF,375.0,15.0,0.00015486802030456853,0.0684931506849315,0.19936847418546677,0.20055229365825655,0.3787661185818745,-0.6211752374237205,-0.24240911884184602,0.24240911884184602
2025-08-01,2025-08-01T15:00:00.000000,AG2509.SHF,8908.0,15.0,AG2509C9300.SHF,57.5,AG2509P9300.SHF,444.0,15.0,0.00015505634517766498,0.06575342465753424,0.1974852220714092,0.1945539329946041,0.2246121657135967,-0.7754997882578009,-0.5508876225442041,0.5508876225442041
2025-08-04,2025-08-04T15:00:00.000000,AG2509.SHF,9030.0,15.0,AG2509C9300.SHF,79.5,AG2509P9300.SHF,333.5,15.0,0.0001529218274111675,0.057534246575342465,0.20739675223827359,0.1995317453145981,0.2244707014481319,-0.7758103166329887,-0.5513396151848569,0.5513396151848569
2025-08-05,2025-08-05T15:00:00.000000,AG2509.SHF,9066.0,15.0,AG2509C9300.SHF,67.5,AG2509P9300.SHF,301.5,15.0,0.0001504294416243655,0.0547945205479452,0.20908879980444905,0.18792698144912717,0.2967064468050191,-0.7305495054485568,-0.43384305864353767,0.43384305864353767
2025-08-06,2025-08-06T15:00:00.000000,AG2509.SHF,9168.0,15.0,AG2509C9300.SHF,96.0,AG2509P9300.SHF,225.0,15.0,0.00015058781725888325,0.052054794520547946,0.1834076093137264,0.18351181104779238,0.2954828808667169,-0.7045130399981319,-0.40903015913141494,0.40903015913141494
2025-08-07,2025-08-07T15:00:00.000000,AG2509.SHF,9246.0,15.0,AG2509C9300.SHF,129.0,AG2509P9300.SHF,182.0,15.0,0.00014911827411167515,0.049315068493150684,0.18151430472731586,0.17784097120165823,0.3764963057681906,-0.6236575687406213,-0.24716126297243068,0.24716126297243068
2025-08-08,2025-08-08T15:00:00.000000,AG2509.SHF,9268.0,15.0,AG2509C9300.SHF,126.0,AG2509P9300.SHF,157.5,15.0,0.0001479261421319797,0.04657534246575343,0.1875312876701355,0.1863935049623251,0.463660210386129,-0.5363883034590734,-0.07272809307294442,0.07272809307294442
2025-08-11,2025-08-11T15:00:00.000000,AG2509.SHF,9199.0,15.0,AG2509C9300.SHF,78.5,AG2509P9300.SHF,187.0,15.0,0.0001455,0.038356164383561646,0.17639460131525994,0.17584743842482567,0.4624762238809754,-0.5375449228012711,-0.07506869892029566,0.07506869892029566
2025-08-12,2025-08-12T15:00:00.000000,AG2509.SHF,9176.0,15.0,AG2509C9300.SHF,63.0,AG2509P9300.SHF,185.0,15.0,0.00014527142857142858,0.03561643835616438,0.16888525620102882,0.17990662083029751,0.293750001551658,-0.7058942046157018,-0.41214420306404387,0.41214420306404387
2025-08-13,2025-08-13T15:00:00.000000,AG2509.SHF,9287.0,15.0,AG2509C9300.SHF,110.5,AG2509P9300.SHF,117.0,15.0,0.00014618571428571427,0.03287671232876712,0.1648414935171604,0.16188179656863214,0.33167449203147015,-0.6781538130073859,-0.3464793209759157,0.3464793209759157
2025-08-14,2025-08-14T15:00:00.000000,AG2509.SHF,9277.0,15.0,AG2509C9300.SHF,96.5,AG2509P9300.SHF,117.5,15.0,0.00014637142857142857,0.030136986301369864,0.17369899675250053,0.16406537741422655,0.5505128498222249,-0.4498157071524914,0.10069714266973351,-0.10069714266973351
2025-08-15,2025-08-15T15:00:00.000000,AG2509.SHF,9191.0,15.0,AG2509C9300.SHF,61.5,AG2509P9300.SHF,166.0,15.0,0.00014821428571428573,0.0273972602739726,0.16679469779133796,0.16373963579535483,0.4045588992435435,-0.6004591212939305,-0.19590022205038704,0.19590022205038704
2025-08-18,2025-08-18T15:00:00.000000,AG2509.SHF,9247.0,15.0,AG2509C9300.SHF,71.5,AG2509P9300.SHF,124.0,15.0,0.0001483,0.019178082191780823,0.17565273478627205,0.16794438630342484,0.29243257759204155,-0.7077494757381069,-0.4153168981460653,0.4153168981460653
2025-08-19,2025-08-19T15:00:00.000000,AG2509.SHF,9176.0,15.0,AG2509C9300.SHF,30.0,AG2509P9300.SHF,152.5,15.0,0.00015081666666666666,0.01643835616438356,0.18724922537803648,0.18632196635007858,0.4299800470180573,-0.5711989197672828,-0.14121887274922545,0.14121887274922545
2025-08-20,2025-08-20T15:00:00.000000,AG2510.SHF,9042.0,15.0,AG2510C9000.SHF,232.0,AG2510P9000.SHF,184.0,15.0,0.00015333561643835617,0.0958904109589041,0.2,0.2,0.6429636100652827,-0.35703638993473735,0.28592722013054533,-0.28592722013054533
2025-08-21,2025-08-21T15:00:00.000000,AG2510.SHF,9162.0,15.0,AG2510C9000.SHF,297.0,AG2510P9000.SHF,135.0,15.0,0.00015340013698630136,0.09315068493150686,0.18821165323257444,0.1829276111721992,0.6421276719130813,-0.3581716471055858,0.2839560248074955,-0.2839560248074955
2025-08-22,2025-08-22T15:00:00.000000,AG2510.SHF,9192.0,15.0,AG2510C9000.SHF,320.0,AG2510P9000.SHF,130.0,15.0,0.00015308493150684933,0.09041095890410959,0.18569233760237694,0.18581507265567776,0.6418261110939687,-0.35816703823038215,0.28365907286358655,-0.28365907286358655
2025-08-25,2025-08-25T15:00:00.000000,AG2510.SHF,9394.0,15.0,AG2510C9000.SHF,471.0,AG2510P9000.SHF,80.5,15.0,0.00015306345177664975,0.0821917808219178,0.19210456952452662,0.1941591584682464,0.6416764535005027,-0.35821411897183686,0.28346233452866587,-0.28346233452866587
2025-08-26,2025-08-26T15:00:00.000000,AG2510.SHF,9354.0,15.0,AG2510C9000.SHF,432.0,AG2510P9000.SHF,81.0,15.0,0.0001528705583756345,0.07945205479452055,0.20922606498003005,0.2138829988241196,0.7218624751942145,-0.27791823064181764,0.4439442445523969,-0.4439442445523969
2025-08-27,2025-08-27T15:00:00.000000,AG2510.SHF,9305.0,15.0,AG2510C9000.SHF,387.0,AG2510P9000.SHF,79.0,15.0,0.00015260000000000002,0.07671232876712329,0.203178598433733,0.20681218169629573,0.7214086208664432,-0.2784231823067999,0.4429854385596433,-0.4429854385596433
2025-08-28,2025-08-28T15:00:00.000000,AG2510.SHF,9377.0,15.0,AG2510C9000.SHF,445.0,AG2510P9000.SHF,67.0,15.0,0.00015333705583756347,0.07397260273972603,0.19577859990298746,0.19244023017585277,0.7209004586798441,-0.27925133087503823,0.44164912780480586,-0.44164912780480586
2025-08-29,2025-08-29T15:00:00.000000,AG2510.SHF,9386.0,15.0,AG2510C9000.SHF,452.0,AG2510P9000.SHF,64.5,15.0,0.0001534532994923858,0.07123287671232877,0.20350386559963224,0.20228294983506204,0.7909495470330047,-0.20909705579936727,0.5818524912336374,-0.5818524912336374
2025-09-01,2025-09-01T15:00:00.000000,AG2510.SHF,9775.0,15.0,AG2510C9000.SHF,751.5,AG2510P9000.SHF,33.5,15.0,0.00015042842639593907,0.06301369863013699,0.20721835792064663,0.20527719289064406,0.7906129378995626,-0.20945684650170043,0.5811560913978622,-0.5811560913978622
2025-09-02,2025-09-02T15:00:00.000000,AG2510.SHF,9824.0,15.0,AG2510C9000.SHF,845.0,AG2510P9000.SHF,31.5,15.0,0.0001506208121827411,0.06027397260273973,0.01,0.26780603215098375,1.0000000000000058,-0.10319700679637636,0.8968029932036294,-0.8968029932036294
