trade_date,bar_ts,future_ts_code,future_close,future_per_unit,call_ts_code,call_close,call_settle,put_ts_code,put_close,put_settle,option_per_unit,rate,ttm,iv_call_used,iv_put_used,delta_call,delta_put,combo_delta,target_future_position,gamma_call,gamma_put,vega_call,vega_put,theta_call,theta_put
2025-11-22,2025-11-22T02:30:00.000000,AG2601.SHF,11898.0,15.0,AG2601C12200.SHF,318.0,354.6502832752841,AG2601P12200.SHF,597.5,634.77884963954,15.0,0.02,0.09041095890410959,0.33398848177865137,0.334111466105096,0.39486092238564036,-0.6051344971873478,-0.21027357480170744,0.21027357480170744,0.0,-2.4092591219692222e-15,13.734091161600011,13.734034780165048,-10.55491495757326,-9.59210349512955
2025-11-24,2025-11-24T23:45:00.000000,AG2601.SHF,11929.0,15.0,AG2601C12200.SHF,290.5,336.938342184371,AG2601P12200.SHF,567.0,607.9465968411957,15.0,0.00015205753424657535,0.0821917808219178,0.33398848177865137,0.334111466105096,0.3870776728984839,-0.6129155760754538,-0.2258379031769699,0.2258379031769699,-4.793506931054638e-15,1.2782685149479034e-14,13.068974487274273,13.068963395964682,-10.670423023061858,-10.666981048971934
2025-11-25,2025-11-25T23:45:00.000000,AG2601.SHF,12042.0,15.0,AG2601C12200.SHF,343.0,381.77351448902255,AG2601P12200.SHF,500.0,539.278170422902,15.0,0.0001520507614213198,0.07945205479452055,0.3340247607510536,0.333768385639414,0.4743517141043654,-0.5256626760936894,-0.051310961989324055,0.051310961989324055,1.1759915462136695e-15,7.839943641424463e-16,13.572282996260771,13.572306801169644,-11.469755853742242,-11.45361313513854
2025-11-26,2025-11-26T23:45:00.000000,AG2601.SHF,12246.0,15.0,AG2601C12200.SHF,439.5,449.1766633336835,AG2601P12200.SHF,388.0,402.6961439082611,15.0,0.0001517964467005076,0.07671232876712329,0.3150678495317697,0.3148162208031863,0.5618212932982256,-0.4381924420421132,0.1236288512561124,-0.1236288512561124,-2.2742747568691082e-15,3.411412135303662e-15,13.450576906877112,13.450597323974904,-11.11047111530388,-11.094268498453744
2025-11-27,2025-11-27T23:45:00.000000,AG2601.SHF,12419.0,15.0,AG2601C12200.SHF,555.5,539.882712213034,AG2601P12200.SHF,339.0,320.889302822666,15.0,0.00015182335025380712,0.07397260273972603,0.3159729797765612,0.3160809428477659,0.561558001725897,-0.4384362105265521,0.12312179119934491,-0.12312179119934491,-9.582532140624939e-15,7.739737498197067e-15,13.301331450671258,13.301323109735023,-11.432949319509248,-11.429497032880818
2025-11-28,2025-11-28T23:45:00.000000,AG2601.SHF,12934.0,15.0,AG2601C12200.SHF,954.5,896.696193597402,AG2601P12200.SHF,240.5,162.66771366175388,15.0,0.00015218730964467006,0.07123287671232877,0.3260680824704467,0.3261732933437451,0.7626196223546396,-0.2380266088732998,0.5245930134813399,-0.5245930134813399,0.005101278862983447,0.005201821937758662,10.04965415315955,10.307816716157989,-9.092538382716725,-9.088097684485831
2025-11-29,2025-11-29T02:30:00.000000,AG2601.SHF,13190.0,15.0,AG2601C12200.SHF,1137.0,1145.5849174759949,AG2601P12200.SHF,177.5,138.70377667838542,15.0,0.02,0.07123287671232877,0.35794333250261834,0.3584390098322183,0.8009814099561708,-0.1990058499966046,0.6019755599595662,-0.6019755599595662,-1.960387163322254e-14,2.77721514803986e-15,9.830965015189857,9.8312667322798,-10.703737921779293,-9.750538831039222
2025-12-01,2025-12-01T23:45:00.000000,AG2601.SHF,13437.0,15.0,AG2601C12200.SHF,1402.0,1319.9333270031648,AG2601P12200.SHF,161.0,83.20126068802098,15.0,0.00015025837563451775,0.06301369863013699,0.35794333250261834,0.3584390098322183,0.8534519645718173,-0.14653375700441212,0.7069182075674052,-0.7069182075674052,-7.555910380291767e-15,1.888977595072942e-15,7.735825982447323,7.73580501974223,-8.867061027683803,-8.872030619096705
2025-12-02,2025-12-02T23:45:00.000000,AG2601.SHF,13530.0,15.0,AG2601C12200.SHF,1491.0,1450.275649887513,AG2601P12200.SHF,142.0,120.63033822141082,15.0,0.00014946040609137054,0.06027397260273973,0.43314548156224186,0.4337576723098754,0.8553355441749269,-0.14464734511688818,0.7106881990580387,-0.7106881990580387,-3.726197272763992e-15,8.539202083417483e-16,7.589028074294105,7.589000149781275,-11.01150986027801,-11.019786403353038
2025-12-03,2025-12-03T23:45:00.000000,AG2601.SHF,13701.0,15.0,AG2601C12200.SHF,1541.0,1604.492280908882,AG2601P12200.SHF,111.0,104.35786969468778,15.0,0.00014918020304568528,0.057534246575342465,0.4540055496804416,0.45530609570443614,0.8556257665669098,-0.14433876318780883,0.711287003379101,-0.711287003379101,0.0,2.271103473545936e-16,7.460749134127673,7.460684775091866,-11.896658206130724,-11.923390738192126
2025-12-04,2025-12-04T23:45:00.000000,AG2601.SHF,13320.0,15.0,AG2601C12200.SHF,1168.0,1285.5879552230153,AG2601P12200.SHF,94.5,166.64406776057177,15.0,0.00014964822335025382,0.0547945205479452,0.4649884057790041,0.46630603581666946,0.7986838987571975,-0.20127270730165073,0.5974111914555468,-0.5974111914555468,-1.2815387202702312e-15,3.043654460641799e-15,8.774509643736677,8.77443664843876,-15.05809681210144,-15.09337812332518
2025-12-05,2025-12-05T23:45:00.000000,AG2601.SHF,13868.0,15.0,AG2601C12200.SHF,1623.5,1733.7213315736406,AG2601P12200.SHF,48.5,66.53692348055625,15.0,0.00015123857868020306,0.052054794520547946,0.44555636141449206,0.44719775371253484,0.8999849872531221,-0.0999821466112406,0.8000028406418815,-0.8000028406418815,0.0,7.389116833495919e-17,5.554081211619636,5.5540297132834535,-9.62643572602451,-9.654457143733786
2025-12-06,2025-12-06T02:30:00.000000,AG2601.SHF,13774.0,15.0,AG2601C12200.SHF,1623.5,1633.1044828250692,AG2601P12200.SHF,48.0,46.832142179746064,15.0,0.02,0.052054794520547946,0.39586809330619877,0.3967887229658663,0.9207338139874524,-0.0840050592587425,0.8367287547287099,-0.8367287547287099,0.002030227858994592,0.0021756436190169173,4.027580630488249,5.389084686681453,-7.078656093849759,-6.177360355740078
2025-12-08,2025-12-08T23:45:00.000000,AG2601.SHF,13624.0,15.0,AG2601C12200.SHF,1518.0,1468.8045309058352,AG2601P12200.SHF,45.5,45.18864431744581,15.0,0.00015177309644670052,0.043835616438356165,0.39586809330619877,0.3967887229658663,0.901731374618083,-0.10165761539029639,0.8000737592277866,-0.8000737592277866,0.0005000152726433322,1.3781085737790678e-15,5.053948661818061,5.053928205600696,-7.2354139871513325,-7.365355072627402
2025-12-09,2025-12-09T23:45:00.000000,AG2601.SHF,14021.0,15.0,AG2601C12200.SHF,1688.0,1841.1733141257482,AG2601P12200.SHF,37.0,20.683678351163056,15.0,0.00015115837563451777,0.0410958904109589,0.4057838657498359,0.40805910497903813,0.957415410850897,-0.04256371660243388,0.9148516942484631,-0.9148516942484631,-5.78298689095461e-15,3.072211785819637e-16,2.576224472037875,2.5762029321199655,-5.182516139456993,-5.204165546767468
2025-12-10,2025-12-10T23:45:00.000000,AG2601.SHF,14153.0,15.0,AG2601C12200.SHF,2267.0,1961.8709943893825,AG2601P12200.SHF,32.0,9.010286605013386,15.0,0.00015014010152284262,0.038356164383561646,0.3840718895196914,0.3853287562169134,0.9740253994489687,-0.02596719298855858,0.9480582064604102,-0.9480582064604102,-1.2486360052092665e-14,1.9509937581394788e-16,1.6672397216400674,1.667232504501418,-2.608397589662218,-2.6851421926356833
2025-12-11,2025-12-11T23:45:00.000000,AG2601.SHF,14765.0,15.0,AG2601C12200.SHF,2331.5,2567.0785230973142,AG2601P12200.SHF,21.5,2.1666617432723094,15.0,0.00015,0.03561643835616438,0.40661113381385794,0.4109399537742138,0.9956706892149125,-0.006154534729293178,0.9895161544856194,-0.9895161544856194,0.0,0.0002479359165523414,0.354177828762774,0.4418913682849716,-0.8332067025785364,-0.8347265719883648
2025-12-12,2025-12-12T23:45:00.000000,AG2601.SHF,14692.0,15.0,AG2601C12200.SHF,2444.0,2494.686912954202,AG2601P12200.SHF,20.0,3.005663860434168,15.0,0.00015007142857142856,0.03287671232876712,0.42540813028812396,0.4317561627924441,0.9917507243383596,-0.008236378462043156,0.9835143458763165,-0.9835143458763165,-6.320182123203816e-15,1.4401456660946196e-17,0.596953002606805,0.5969407962249164,-1.129578009427405,-1.2991824050992067
2025-12-13,2025-12-13T02:30:00.000000,AG2601.SHF,14431.0,15.0,AG2601C12200.SHF,2144.0,2244.1097849568855,AG2601P12200.SHF,19.5,5.869983186075981,15.0,0.02,0.03287671232876712,0.4253435750305651,0.4333958426117897,0.9853411793861439,-0.014637640812161498,0.9707035385739824,-0.9707035385739824,-1.9652591810711223e-14,2.85747320164421e-16,0.9677049944501518,0.9683382119967731,-2.92432509119908,-2.2975332448547725
2025-12-15,2025-12-15T23:45:00.000000,AG2601.SHF,14822.0,15.0,AG2601C12200.SHF,2663.0,2622.4493202508984,AG2601P12200.SHF,17.5,0.5243125202317074,15.0,0.00014658571428571428,0.024657534246575342,0.4253435750305651,0.4333958426117897,0.9986853325383825,-0.002189139817500283,0.9964961927208823,-0.9964961927208823,0.00003704253977816889,2.375168745913384e-17,0.08100952034621814,0.1590156163596379,-0.26958853416545026,-0.34875570691498886
2025-12-16,2025-12-16T23:45:00.000000,AG2601.SHF,14726.0,15.0,AG2601C12200.SHF,2587.0,2527.341124396415,AG2601P12200.SHF,9.0,1.5501287494605605,15.0,0.0001452142857142857,0.021917808219178082,0.4866150842607021,0.495545742213726,0.995640531549938,-0.004351058579833027,0.9912894729701051,-0.9912894729701051,0.0,7.065122948668202e-17,0.27751244545888215,0.2775065483575529,-0.8635405293521217,-0.9835637489137012
2025-12-17,2025-12-17T23:45:00.000000,AG2601.SHF,15337.0,15.0,AG2601C12200.SHF,3207.0,3137.074843056498,AG2601P12200.SHF,7.5,0.06545375569628131,15.0,0.00014341428571428572,0.019178082191780823,0.46993604585528365,0.4851293644309043,0.9998001238167324,-0.0001990894985035285,0.9996010343182289,-0.9996010343182289,3.866511785530689e-15,2.359931509723321e-19,0.015905673216910915,0.015905269683872778,-0.04276304103723305,-0.056263582141365925
2025-12-18,2025-12-18T23:45:00.000000,AG2601.SHF,15253.0,15.0,AG2601C12200.SHF,3000.0,3053.0285981033776,AG2601P12200.SHF,5.5,0.026661440581289303,15.0,0.0001426,0.01643835616438356,0.01,0.4852678453922271,1.0000000000000298,-0.00009627386567491006,0.9999037261343549,-0.9999037261343549,-1.1727647062891967e-14,2.0073643298411615e-6,2.2737367544324134e-10,0.0062941448305258805,-0.006903636397510127,-0.024447335916170626
2025-12-19,2025-12-19T23:45:00.000000,AG2601.SHF,15509.0,15.0,AG2601C12200.SHF,3132.0,3309.0234774568694,AG2601P12200.SHF,2.5,0.03642920485012455,15.0,0.00014048,0.0136986301369863,0.01,0.5778722882270813,1.0000000000000147,-0.0001989300941589772,0.9998010699058557,-0.9998010699058557,-1.3234289354831136e-14,6.058176889723726e-19,-6.82121026329724e-10,0.01351801929630035,-0.0068010047762072645,-0.034958653171911144
2025-12-20,2025-12-20T02:30:00.000000,AG2602.SHF,15746.0,15.0,AG2602C15700.SHF,910.0,985.0209011218768,AG2602P15700.SHF,922.0,906.9781388292935,15.0,0.02,0.10136986301369863,0.4749740432761609,0.4748505251901223,0.5796442217486194,-0.42036212221480784,0.15928209953381156,-0.15928209953381156,-5.5023845404833036e-15,5.043852495443028e-15,19.82458808608857,19.82461402340695,-19.2167365765888,-17.968375691414167
2025-12-22,2025-12-22T23:45:00.000000,AG2602.SHF,16186.0,15.0,AG2602C15700.SHF,1160.0,1183.0243666414262,AG2602P15700.SHF,681.0,696.5575434399843,15.0,0.00015621643835616437,0.09315068493150686,0.4749740432761609,0.4748505251901223,0.573187663966345,-0.42681974167507275,0.14636792229127227,-0.14636792229127227,-6.075179999296083e-15,-1.7357657140845951e-15,19.29786272561395,19.297889495021508,-19.742750360693435,-19.727912307029555
2025-12-23,2025-12-23T23:45:00.000000,AG2602.SHF,16604.0,15.0,AG2602C15700.SHF,1359.5,1484.0923478404238,AG2602P15700.SHF,575.5,580.0924718725076,15.0,0.00015689438356164382,0.09041095890410959,0.49770724802277977,0.4978289266768843,0.659185862526173,-0.3408074165493224,0.31837844597685055,-0.31837844597685055,1.6494711668021817e-15,1.6494711668021817e-15,18.312715877994055,18.31269048770252,-20.233849496206858,-20.228992236514614
2025-12-24,2025-12-24T23:45:00.000000,AG2602.SHF,16838.0,15.0,AG2602C15700.SHF,1780.0,1641.8669759956942,AG2602P15700.SHF,562.5,504.2937501717487,15.0,0.00015798917808219177,0.08767123287671233,0.5051464426703751,0.5055385409854352,0.7368606268692791,-0.26312039713942303,0.4737402297298561,-0.4737402297298561,0.0,6.014789530878632e-16,16.430480129381817,16.43041263098914,-19.00876791832343,-19.013596767431352
2025-12-25,2025-12-25T23:45:00.000000,AG2602.SHF,17998.0,15.0,AG2602C15700.SHF,2458.5,2641.064240469397,AG2602P15700.SHF,357.0,344.2902685858655,15.0,0.00015844164383561644,0.08493150684931507,0.5835795404855162,0.5845794742181896,0.8072004919134377,-0.19275954829304062,0.614440943620397,-0.614440943620397,-2.8077063129527063e-15,-5.264449336786324e-16,14.37400945933896,14.373829337641066,-19.84022735868848,-19.864088998168143
2025-12-26,2025-12-26T23:45:00.000000,AG2602.SHF,18723.0,15.0,AG2602C15700.SHF,3200.0,3287.994851576693,AG2602P15700.SHF,340.0,266.3213016373289,15.0,0.00015841534246575342,0.0821917808219178,0.6247563344752417,0.6260542163345961,0.8634713528586372,-0.13648788657077113,0.726983466287866,-0.726983466287866,-2.5944738565154505e-15,1.783700776354372e-15,11.795233918871212,11.795043002425627,-18.01916026860772,-18.046413170893914
2025-12-27,2025-12-27T02:30:00.000000,AG2602.SHF,19204.0,15.0,AG2602C15700.SHF,3200.0,3779.321509985604,AG2602P15700.SHF,320.0,251.62877483419794,15.0,0.02,0.0821917808219178,0.670597847229801,0.6723692275956275,0.866744247114822,-0.13320585359287174,0.7335383935219503,-0.7335383935219503,-3.6992019207280195e-15,6.936003601365037e-16,11.822761149563107,11.823016644971613,-20.417917598716485,-19.22449327917448
2025-12-29,2025-12-29T23:45:00.000000,AG2602.SHF,17563.0,15.0,AG2602C15700.SHF,2500.0,2361.936652779369,AG2602P15700.SHF,520.0,501.4781359651907,15.0,0.00015937157360406093,0.07397260273972603,0.670597847229801,0.6723692275956275,0.742194262133113,-0.2577277804521324,0.4844664816809806,-0.4844664816809806,1.326830006352961e-14,0.0,15.392529328613168,15.39217933990776,-28.07856904928167,-28.142158861981898
2025-12-30,2025-12-30T23:45:00.000000,AG2602.SHF,18474.0,15.0,AG2602C15700.SHF,2200.0,3298.7361401037365,AG2602P15700.SHF,319.0,527.41610121043,15.0,0.00016441065989847715,0.07123287671232877,0.8425331965368239,0.8446863289922475,0.8146247643020527,-0.1852982852748788,0.6293264790271739,-0.6293264790271739,0.0,1.332441955638006e-15,13.30096591327588,13.300553072865375,-31.674938378861043,-31.744650292153324
2025-12-31,2025-12-31T15:00:00.000000,AG2602.SHF,17103.0,15.0,AG2602C15700.SHF,1850.0,2282.2916445907636,AG2602P15700.SHF,507.5,881.3588640152436,15.0,0.00016856598984771575,0.07123287671232877,0.8456410265993326,0.8470132937887683,0.673045642302407,-0.32688811900243725,0.3461575232999698,-0.3461575232999698,-1.243699825292684e-14,7.773123908079275e-16,16.43819074067456,16.437842645299558,-39.287837108894564,-39.3402649019057
2026-01-05,2026-01-05T23:45:00.000000,AG2602.SHF,18842.0,15.0,AG2602C15700.SHF,3117.0,3410.982202532101,AG2602P15700.SHF,167.0,270.3623663169377,15.0,0.00015068883248730967,0.0547945205479452,0.7861762417014686,0.7877392862457782,0.8640037568031456,-0.13595625678103154,0.728047500022114,-0.728047500022114,-6.404514056901232e-15,1.601128514225308e-15,9.65941423263743,9.659253754876486,-28.026944355655814,-28.07279989441389
2026-01-06,2026-01-06T23:45:00.000000,AG2602.SHF,19771.0,15.0,AG2602C15700.SHF,4170.0,4189.755437100971,AG2602P15700.SHF,139.5,119.73378869540237,15.0,0.00015030101522842639,0.052054794520547946,0.7448106645420194,0.7467955867387353,0.9382470207627776,-0.061725379145475,0.8765216416173025,-0.8765216416173025,-1.6286994182144485e-14,5.816783636480174e-16,5.547800358104452,5.547709288730046,-16.072458036389435,-16.10563341635779
2026-01-07,2026-01-07T23:45:00.000000,AG2602.SHF,18851.0,15.0,AG2602C15700.SHF,3449.5,3331.279368659377,AG2602P15700.SHF,155.0,181.89753128160584,15.0,0.0001486807106598985,0.049315068493150684,0.7323621435184031,0.7347911036573349,0.9052358037807547,-0.10626704492108123,0.7989687588596736,-0.7989687588596736,8.957760174740759e-15,0.0012252289511856399,7.135951669267138,7.135815983771569,-21.477992255480785,-21.539523588126627
2026-01-08,2026-01-08T23:45:00.000000,AG2602.SHF,18399.0,15.0,AG2602C15700.SHF,2476.0,2977.5530111664752,AG2602P15700.SHF,162.5,281.1781570740651,15.0,0.00015007614213197968,0.04657534246575343,0.795181051464751,0.7982870041020214,0.8626401235219436,-0.13728612444041038,0.7253539990815332,-0.7253539990815332,-1.6119923817682162e-14,2.350822223411982e-15,8.805421810879187,8.805188858232087,-30.504410680636738,-30.61337875194019
2026-01-09,2026-01-09T23:45:00.000000,AG2602.SHF,19536.0,15.0,AG2602C15700.SHF,4157.5,3934.3798133979917,AG2602P15700.SHF,85.5,99.56564722514001,15.0,0.00014997918781725888,0.043835616438356165,0.7427564536780116,0.7453022237680851,0.9373621000867931,-0.06260505499818037,0.8747570450886127,-0.8747570450886127,-1.787269909467781e-14,8.564001649533117e-16,5.0635537143153835,5.063457013290918,-17.437956936917544,-17.488009221951415
2026-01-10,2026-01-10T02:30:00.000000,AG2602.SHF,19429.0,15.0,AG2602C15700.SHF,4157.5,3840.6742812197244,AG2602P15700.SHF,83.0,98.48741535510104,15.0,0.02,0.043835616438356165,0.7312853372842072,0.7324264485761525,0.9379131283879657,-0.0620733331638256,0.8758397952241401,-0.8758397952241401,-2.0479445927568136e-14,7.152747658525636e-16,5.00810971371025,5.008191988674779,-18.10892455114299,-16.890253096521093
2026-01-12,2026-01-12T23:45:00.000000,AG2602.SHF,21242.0,15.0,AG2602C15700.SHF,5464.5,5554.372518430109,AG2602P15700.SHF,67.0,12.450187041831322,15.0,0.00014890000000000001,0.03561643835616438,0.7312853372842072,0.7324264485761525,0.9861360573668173,-0.013860139830294214,0.9722759175365231,-0.9722759175365231,0.0,1.9683821035604538e-17,1.410297807290808,1.4102861203106458,-4.398336255504546,-4.458945738063141
2026-01-13,2026-01-13T23:45:00.000000,AG2602.SHF,22313.0,15.0,AG2602C15700.SHF,5464.5,6620.928398567429,AG2602P15700.SHF,42.5,8.239653389355103,15.0,0.00015324285714285712,0.03287671232876712,0.8155101770535109,0.8201967938616872,0.9925117487147751,-0.007479493487342104,0.985032255227433,-0.985032255227433,1.826771563667196e-15,1.783956605143746e-17,0.8329239223802288,0.8328967375527271,-3.3986492030026056,-3.571245295811111
2026-01-14,2026-01-14T23:45:00.000000,AG2602.SHF,23227.0,15.0,AG2602C15700.SHF,7533.0,7532.455205167763,AG2602P15700.SHF,45.5,5.682470404811654,15.0,0.0001562142857142857,0.030136986301369864,0.8967124437354501,0.9032242218218742,0.9961452253187291,-0.003848326560967522,0.9922968987577615,-0.9922968987577615,-5.057491811582101e-15,-6.5852757963308616e-18,0.4625210864190625,0.46250431015795046,-2.7261996803872535,-2.8478542842726857
2026-01-15,2026-01-15T23:45:00.000000,AG2602.SHF,22543.0,15.0,AG2602C15700.SHF,6689.0,6850.946182080349,AG2602P15700.SHF,17.5,8.703903185720534,15.0,0.0001525,0.0273972602739726,0.9162910829484462,0.9270655541121957,0.9925507029548782,-0.0074310098924178485,0.9851196930624604,-0.9851196930624604,-1.0738113789004665e-14,0.0,0.7641640678166876,0.7641097419226308,-3.9199957992923373,-4.300696949916406
2026-01-16,2026-01-16T23:45:00.000000,AG2602.SHF,21803.0,15.0,AG2602C15700.SHF,6942.5,6120.955053773025,AG2602P15700.SHF,17.0,19.630903606855153,15.0,0.00014811428571428573,0.024657534246575342,0.9915216361731289,1.0061103682219978,0.9864450273209028,-0.013515333030556995,0.9729296942903458,-0.9729296942903458,-7.652928489120498e-15,9.715631870953757e-17,1.188082285644695,1.1879828497799723,-8.622320169133673,-9.393230722272502
2026-01-17,2026-01-17T02:30:00.000000,AG2602.SHF,22068.0,15.0,AG2602C15700.SHF,6942.5,6383.904782152188,AG2602P15700.SHF,13.0,9.454351022041461,15.0,0.02,0.024657534246575342,0.9216522532701493,0.939780419319868,0.9925488436071237,-0.007423314585850845,0.9851255290212728,-0.9851255290212728,-7.470234140867356e-15,-3.647575264095389e-18,0.7115955512692125,0.7117419049657419,-5.601162462726279,-4.973518946578902
2026-01-19,2026-01-19T23:45:00.000000,AG2602.SHF,23289.0,15.0,AG2602C15700.SHF,6634.0,7589.245454442583,AG2602P15700.SHF,6.0,0.28959474721830086,15.0,0.00014670000000000002,0.01643835616438356,0.9216522532701493,0.939780419319868,0.9995729999228045,-0.0004252336347380995,0.9991477662880663,-0.9991477662880663,-8.384332559507182e-15,2.661043048671713e-18,0.045235876742846584,0.04523218655151258,-0.1951052022895965,-0.2573779255000551
2026-01-20,2026-01-20T23:45:00.000000,AG2602.SHF,22913.0,15.0,AG2602C15700.SHF,7607.5,7213.203430564134,AG2602P15700.SHF,3.5,0.24726724098191588,15.0,0.00014648333333333333,0.0136986301369863,0.9601749879121778,0.9801082399487493,0.9998171314779196,-0.000429643066205389,0.9993874884117142,-0.9993874884117142,0.0,5.498189037354284e-18,0.018621407475463283,0.040963967901370406,-0.17137735449432512,-0.23217956445533347
