bar_ts,trade_date,nav,capital_used,capital_usage,return_rate
2025-03-24T14:30:00.000000,2025-03-24,983174.9280853587,19864.57803300336,0.020204520544159693,-0.016819154051882057
2025-03-24T14:45:00.000000,2025-03-24,983166.3965715494,19873.10954681274,0.02021337345958252,-0.01682768561704384
2025-03-24T15:00:00.000000,2025-03-24,983129.5713605018,19849.934757860246,0.020190558127949457,-0.01686451104974729
2025-03-24T21:00:00.000000,2025-03-24,983192.7045626913,19786.801555670823,0.02012504920332142,-0.016801377467550505
2025-03-24T21:15:00.000000,2025-03-24,983174.2532964062,19850.25282195585,0.020189964042896292,-0.01681982884489619
2025-03-24T21:30:00.000000,2025-03-24,983114.2532964062,19790.25282195585,0.020130165701085757,-0.01687982920604436
2025-03-24T21:45:00.000000,2025-03-24,983100.9595991682,19773.546519193977,0.020113444429202963,-0.016893122983298925
2025-03-24T22:00:00.000000,2025-03-24,983172.5469936444,19851.95912471773,0.02019173458964173,-0.016821535157928502
2025-03-24T22:15:00.000000,2025-03-24,983129.2532964064,19805.25282195585,0.020145115970813973,-0.01686482911575715
2025-03-24T22:30:00.000000,2025-03-24,983137.1100212632,19782.396097098965,0.02012170621519018,-0.01685697234360961
2025-03-24T22:45:00.000000,2025-03-24,983149.0541405964,19770.451977765835,0.020109312921068566,-0.0168450281523832
2025-03-24T23:00:00.000000,2025-03-24,983126.5541405964,19747.951977765835,0.020086886977667466,-0.016867528287813682
2025-03-24T23:15:00.000000,2025-03-24,983144.2919571677,19745.214161194577,0.020083739815940273,-0.01684979036447609
2025-03-24T23:30:00.000000,2025-03-24,983080.2045626914,19674.301555670823,0.02001291600050338,-0.01691387814470313
2025-03-24T23:45:00.000000,2025-03-24,983066.5541405964,19687.951977765835,0.020027079443239913,-0.016927528648961854
2025-03-25T00:00:00.000000,2025-03-25,983035.2045626914,19629.301555670823,0.019968055533070177,-0.016958878415564205
2025-03-25T00:15:00.000000,2025-03-25,983041.673048882,19652.833069480206,0.019991861594765743,-0.01695240989043878
2025-03-25T00:30:00.000000,2025-03-25,983019.173048882,19630.333069480206,0.0199694305133396,-0.016974910025869372
2025-03-25T00:45:00.000000,2025-03-25,982982.7045626914,19576.801555670823,0.0199157131298461,-0.01701137873156877
2025-03-25T01:00:00.000000,2025-03-25,983016.1171682151,19603.38895014707,0.01994208295039837,-0.01697796592493006
2025-03-25T01:15:00.000000,2025-03-25,983014.4108654532,19605.095252908948,0.01994385335170059,-0.016979672237962484
2025-03-25T01:30:00.000000,2025-03-25,983025.9982599295,19623.5078584327,0.019962348801729143,-0.016968084773740122
2025-03-25T01:45:00.000000,2025-03-25,983005.2045626914,19599.301555670823,0.019938146272979244,-0.01698887859613829
2025-03-25T02:00:00.000000,2025-03-25,983020.2045626914,19614.301555670823,0.01995310113121885,-0.016973878505851192
2025-03-25T02:15:00.000000,2025-03-25,983035.5612875483,19598.94483081394,0.01993716769019411,-0.016958521688560158
2025-03-25T02:30:00.000000,2025-03-25,982988.8549847864,19555.651133575815,0.019894072078648822,-0.017005228272453543
2025-03-25T09:15:00.000000,2025-03-25,983051.1974157394,19703.308702622722,0.020043013786483443,-0.016942885466253
2025-03-25T09:30:00.000000,2025-03-25,982966.9911129775,19622.515005384594,0.019962537076821614,-0.017027092275864075
2025-03-25T09:45:00.000000,2025-03-25,982787.66590193,19456.8402164321,0.01979760317664961,-0.017206418566294235
2025-03-25T10:00:00.000000,2025-03-25,982912.1100212631,19557.396097098965,0.019897400690969087,-0.017081973697915087
2025-03-25T10:15:00.000000,2025-03-25,982849.3722046919,19515.133913670223,0.019855671139001274,-0.01714471189211375
