trade_date,bar_ts,future_ts_code,future_close,future_per_unit,call_ts_code,call_close,put_ts_code,put_close,option_per_unit,rate,ttm,iv_call_used,iv_put_used,delta_call,delta_put,combo_delta,target_future_position,gamma_call,gamma_put,vega_call,vega_put,theta_call,theta_put,nav,margin_by_future,cash,pnl,pnl_future,pnl_call,pnl_put,pnl_option,cash_future,cash_call,cash_put,cash_option,nav_future,nav_call,nav_put,nav_option,capital_used,capital_future,capital_call,capital_put,capital_option,fee,fee_future,fee_call,fee_put,fee_option,slippage,name
2025-12-09,2025-12-09T15:00:00.000000,AG2601.SHF,13597.0,15.0,AG2601C12100.SHF,1617.0,AG2601P12100.SHF,40.0,15.0,0.00015115837563451777,0.043835616438356165,0.01,0.405114205032587,1.0000000000000082,-0.06711191788122756,0.9328880821187806,-0.9328880821187806,-1.0882225963051901e-14,9.068521635876583e-16,-2.2737367544324134e-10,3.732101442622163,-0.007257955382783621,-7.005531674746429,1000296.0999962944,28537.224310448557,946903.8756858469,3384.349966075339,1329.3499660753391,2055.0,0.0,2055.0,1528.39757896341,0.0,0.0,0.0,1329.3488533119712,2055.0,0.0,2055.0,,28537.224310448557,24255.0,600.0,24855.0,0.0011127633679183233,0.0011127633679183233,0.0,0.0,0.0,0.0002225749310766194,mtm
2025-12-10,2025-12-10T15:00:00.000000,AG2601.SHF,14364.0,15.0,AG2601C12100.SHF,2313.0,AG2601P12100.SHF,24.0,15.0,0.00015014010152284262,0.0410958904109589,0.5488802759349347,0.4004682725667953,0.9008236420276557,-0.06734900280684925,0.8334746392208066,-0.8334746392208066,1.570273536516619e-14,6.605718002173276e-16,4.887348378812554,3.6148070852982257,-13.287440139351247,-5.514469614223181,999752.5117303333,26939.76057166374,937757.7511586706,-532.8773847765697,-10732.87738477657,10440.0,-240.0,10200.0,-9146.124527176173,0.0,0.0,0.0,-10743.588265960989,10440.0,-240.0,10200.0,,26939.76057166374,34695.0,360.0,35055.0,10.710881184419085,10.710881184419085,0.0,0.0,0.0,2.1419620406804993,mtm
2025-12-11,2025-12-11T15:00:00.000000,AG2601.SHF,14475.0,15.0,AG2601C12100.SHF,2255.5,AG2601P12100.SHF,19.5,15.0,0.00015,0.038356164383561646,0.5770918723940848,0.49655377686023705,0.9347001011802087,-0.04191080068901281,0.892789300491196,-0.892789300491196,-4.466344592514218e-15,1.7446658564508664e-17,3.558888174852003,2.499778734996177,-10.921765174696247,-6.540533463339539,997428.3377520513,29074.123827219602,934229.2139248328,-2317.735274302643,-1387.7352743026431,-862.5,-67.5,-930.0,-3528.53723383788,0.0,0.0,0.0,-1394.1739782820184,-862.5,-67.5,-930.0,,29074.123827219602,33832.5,292.5,34125.0,6.438703979375235,6.438703979375235,0.0,0.0,0.0,1.2878695828335245,mtm
2025-12-12,2025-12-12T15:00:00.000000,AG2601.SHF,14886.0,15.0,AG2601C12100.SHF,2727.0,AG2601P12100.SHF,15.0,15.0,0.00015007142857142856,0.03561643835616438,0.01,0.5145179897546767,1.0000000000000158,-0.025322916225894353,0.9746770837741214,-0.9746770837741214,-6.4761544097166744e-15,2.1081231802463132e-16,0.0,1.6195717483260859,-0.0072057743982441025,-4.779320864911941,998920.1502671946,32642.082370697997,925148.0678964977,1500.9539624717763,-5504.046037528224,7072.5,-67.5,7005.0,-9081.146028335084,0.0,0.0,0.0,-5513.1874848566895,7072.5,-67.5,7005.0,,32642.082370697997,40905.0,225.0,41130.0,9.14144732846575,9.14144732846575,0.0,0.0,0.0,1.8284723129251645,mtm
2025-12-15,2025-12-15T15:00:00.000000,AG2601.SHF,14787.0,15.0,AG2601C12100.SHF,2512.5,AG2601P12100.SHF,11.0,15.0,0.00014658571428571428,0.0273972602739726,0.01,0.5712121546268463,0.9999999999999848,-0.008850373080013624,0.9911496269199712,-0.9911496269199712,6.095765413024534e-15,0.00010617245972823347,0.0,0.5474608165007725,-0.007038414746148192,-2.3533537221551195,997088.2190730675,32972.99382070265,926262.7252523659,-1830.1045305954297,1447.3954694045703,-3217.5,-60.0,-3277.5,1114.6573558683067,0.0,0.0,0.0,1445.5688058729593,-3217.5,-60.0,-3277.5,,32972.99382070265,37687.5,165.0,37852.5,1.8266635316109823,1.8266635316109823,0.0,0.0,0.0,0.3653692432464377,mtm
2025-12-16,2025-12-16T15:00:00.000000,AG2601.SHF,14654.0,15.0,AG2601C12100.SHF,2607.5,AG2601P12100.SHF,12.0,15.0,0.0001452142857142857,0.024657534246575342,0.01,0.6061042565107345,1.0000000000000304,-0.01463889701579389,0.9853611029842365,-0.9853611029842365,-1.228991534308928e-14,4.400685832486396e-17,0.0,0.8638658687668865,-0.006972567796765361,-3.097686119035206,1000504.926327431,32492.082490405453,928720.3438370266,3417.3435057053425,1977.3435057053425,1425.0,15.0,1440.0,2457.6185846606095,0.0,0.0,0.0,1976.7072543634133,1425.0,15.0,1440.0,,32492.082490405453,39112.5,180.0,39292.5,0.6362513419292382,0.6362513419292382,0.0,0.0,0.0,0.12723754463130943,mtm
2025-12-17,2025-12-17T15:00:00.000000,AG2601.SHF,15497.0,15.0,AG2601C12100.SHF,3186.5,AG2601P12100.SHF,6.0,15.0,0.00014341428571428572,0.021917808219178082,0.8259445914626122,0.6214930200576781,0.9591946629781716,-0.014697728127868747,0.9444969348503028,-0.9444969348503028,-2.1064406180302836e-15,5.3483843817175173e-17,1.9162689804530217,0.8088488841543666,-15.051629955536555,-3.9981399167731815,996635.2851651395,32936.24854411893,915811.5366210218,-3864.8911472356704,-12459.89114723567,8685.0,-90.0,8595.0,-12908.807216004941,0.0,0.0,0.0,-12464.641162291467,8685.0,-90.0,8595.0,,32936.24854411893,47797.5,90.0,47887.5,4.750015055796956,4.750015055796956,0.0,0.0,0.0,0.9499080203570948,mtm
2025-12-18,2025-12-18T15:00:00.000000,AG2601.SHF,15505.0,15.0,AG2601C12100.SHF,3345.0,AG2601P12100.SHF,5.0,15.0,0.0001426,0.019178082191780823,0.01,0.7422835278511046,0.9999999999999409,-0.007966272903917965,0.992033727096023,-0.992033727096023,-7.665899991619992e-15,7.111918937538078e-17,9.094947017729654e-10,0.46470021705209535,-0.006847046513939858,-2.8191383985301544,998878.9181510226,34604.87577824244,914024.0423727814,2249.1603678179636,-113.33963218203634,2377.5,-15.0,2362.5,-1787.494248240354,0.0,0.0,0.0,-118.8670141168377,2377.5,-15.0,2362.5,,34604.87577824244,50175.0,75.0,50250.0,5.5273819348013555,5.5273819348013555,0.0,0.0,0.0,1.1055869456543905,mtm
2025-12-19,2025-12-19T15:00:00.000000,AG2601.SHF,15359.0,15.0,AG2601C12100.SHF,2935.0,AG2601P12100.SHF,3.5,15.0,0.00014048,0.01643835616438356,0.01,0.7734349238872529,1.000000000000059,-0.008000871511494046,0.991999128488565,-0.991999128488565,-3.821529482040882e-15,6.630171632432836e-7,-4.547473508864827e-10,0.43059774956112085,-0.00674525621752764,-2.1357392633620416,994878.9680274642,34284.686008313955,916516.7820191515,-3999.9461376597096,2172.5538623402904,-6150.0,-22.5,-6172.5,2492.73964637014,0.0,0.0,0.0,2172.5498764416507,-6150.0,-22.5,-6172.5,,34284.686008313955,44025.0,52.5,44077.5,0.003985898639617519,0.003985898639617519,0.0,0.0,0.0,0.000797100017921165,mtm
2025-12-22,2025-12-22T15:00:00.000000,AG2602.SHF,16210.0,15.0,AG2602C16200.SHF,929.5,AG2602P16200.SHF,910.5,15.0,0.00015621643835616437,0.0958904109589041,0.2,0.2,0.22632385950794495,-0.7736761404920334,-0.5473522809840884,0.5473522809840884,-1.2625998713050827e-15,2.885942562983046e-15,14.388491810131274,14.388491810135537,-6.019283045924141,-6.009240707926438,998438.2914550082,19965.302398798976,950872.9890562105,0.0,0.0,0.0,0.0,0.0,-20031.853406794973,-13949.47125,-13664.32875,-27613.800000000003,-66.5510079959966,-6.97125,-6.82875,-13.8,47565.30239879897,19965.302398798976,13942.5,13657.5,27600.0,80.3510079959966,66.5510079959966,6.97125,6.82875,13.8,13.308870712121418,open
