trade_date,bar_ts,nav,margin_by_future,cash,pnl,pnl_future,pnl_call,pnl_put,pnl_option,cash_future,cash_call,cash_put,cash_option,nav_future,nav_call,nav_put,nav_option,capital_used,capital_future,capital_call,capital_put,capital_option,future_ts_code,call_ts_code,put_ts_code,fee,fee_future,fee_call,fee_put,fee_option,slippage,name
2025-08-16,2025-08-16T00:15:00.000000,989181.5243040269,11313.463504685382,973638.0607993492,-95.65724102852134,-65.65724102852134,-22.5,-7.5,-30.0,-55.80767001606752,0.0,0.0,0.0,-65.65724102852279,-22.5,-7.5,-30.0,,11313.463504685382,592.5,3637.5,4230.0,AG2509.SHF,AG2509C9400.SHF,AG2509P9400.SHF,1.4539074869035496e-12,1.4539074869035496e-12,0.0,0.0,0.0,2.907524221386784e-13,mtm
2025-08-16,2025-08-16T00:30:00.000000,989213.6457694125,11314.893888716464,973661.2518807038,32.12146538569645,24.621465385696453,7.5,0.0,7.5,23.19108135461258,0.0,0.0,0.0,24.621465385694794,7.5,0.0,7.5,,11314.893888716464,600.0,3637.5,4237.5,AG2509.SHF,AG2509C9400.SHF,AG2509P9400.SHF,1.6607253352507457e-12,1.6607253352507457e-12,0.0,0.0,0.0,3.3217828487873585e-13,mtm
2025-08-16,2025-08-16T00:45:00.000000,989197.2314591553,11314.694701062392,973645.0367581007,-16.414310257130246,-16.414310257130246,0.0,0.0,0.0,-16.215122603060863,0.0,0.0,0.0,-16.414310257133238,0.0,0.0,0.0,,11314.694701062392,600.0,3637.5,4237.5,AG2509.SHF,AG2509C9400.SHF,AG2509P9400.SHF,2.9923141706134085e-12,2.9923141706134085e-12,0.0,0.0,0.0,5.98402993823214e-13,mtm
2025-08-16,2025-08-16T01:00:00.000000,989213.6457694125,11314.893888716824,973661.2518807035,16.414310257131547,16.414310257131547,0.0,0.0,0.0,16.21512260269722,0.0,0.0,0.0,16.414310257129756,0.0,0.0,0.0,,11314.893888716824,600.0,3637.5,4237.5,AG2509.SHF,AG2509C9400.SHF,AG2509P9400.SHF,1.7908282416989606e-12,1.7908282416989606e-12,0.0,0.0,0.0,3.582014684867474e-13,mtm
2025-08-16,2025-08-16T01:15:00.000000,989157.6099937697,11311.001111932555,973624.1088818449,-56.03577564282692,-41.03577564282692,-15.0,0.0,-15.0,-37.14299885855992,0.0,0.0,0.0,-41.03577564282871,-15.0,0.0,-15.0,,11311.001111932555,585.0,3637.5,4222.5,AG2509.SHF,AG2509C9400.SHF,AG2509P9400.SHF,1.7902121250412685e-12,1.7902121250412685e-12,0.0,0.0,0.0,3.58006624345886e-13,mtm
2025-08-16,2025-08-16T01:30:00.000000,989284.6815450554,11323.313075698758,973693.8684693644,127.07155128565773,82.07155128565773,37.5,7.5,45.0,69.75958751945535,0.0,0.0,0.0,82.07155128565745,37.5,7.5,45.0,,11323.313075698758,622.5,3645.0,4267.5,AG2509.SHF,AG2509C9400.SHF,AG2509P9400.SHF,2.8337584687121445e-13,2.8337584687121445e-13,0.0,0.0,0.0,5.666950242402362e-14,mtm
2025-08-16,2025-08-16T01:45:00.000000,989410.7672347982,11318.58673920234,973682.1804956036,126.08568974286833,-16.41431025713167,-7.5,150.0,142.5,-11.687973760716641,0.0,0.0,0.0,-16.41431025713494,-7.5,150.0,142.5,,11318.58673920234,615.0,3795.0,4410.0,AG2509.SHF,AG2509C9400.SHF,AG2509P9400.SHF,3.2689454255996348e-12,3.2689454255996348e-12,0.0,0.0,0.0,6.538544705669628e-13,mtm
2025-08-16,2025-08-16T02:00:00.000000,989418.2672347982,11320.85068294542,973679.9165518605,7.5,0.0,7.5,0.0,7.5,-2.2639437430836313,0.0,0.0,0.0,-2.8867422215139717e-12,7.5,0.0,7.5,,11320.85068294542,622.5,3795.0,4417.5,AG2509.SHF,AG2509C9400.SHF,AG2509P9400.SHF,2.8867422215139717e-12,2.8867422215139717e-12,0.0,0.0,0.0,5.772907152312529e-13,mtm
2025-08-16,2025-08-16T02:15:00.000000,989283.9743899268,11320.949784343598,973688.024605591,-134.29284487143426,8.207155128565752,15.0,-157.5,-142.5,8.108053730387361,0.0,0.0,0.0,8.207155128565752,15.0,-157.5,-142.5,,11320.949784343598,637.5,3637.5,4275.0,AG2509.SHF,AG2509C9400.SHF,AG2509P9400.SHF,0.0,0.0,0.0,0.0,0.0,0.0,mtm
2025-08-16,2025-08-16T02:30:00.000000,989298.5459412124,11332.127190984373,973758.9187502359,14.571551285657506,82.0715512856575,-67.5,0.0,-67.5,70.89414464488199,0.0,0.0,0.0,82.07155128565627,-67.5,0.0,-67.5,,11332.127190984373,570.0,3637.5,4207.5,AG2509.SHF,AG2509C9400.SHF,AG2509P9400.SHF,1.2340276995259637e-12,1.2340276995259637e-12,0.0,0.0,0.0,2.4683022292734267e-13,mtm
2025-08-18,2025-08-18T09:15:00.000000,988927.1122675024,11207.304190946237,974104.808076564,-370.90681152873196,221.59318847126806,60.0,-652.5,-592.5,345.88932632803346,0.0,0.0,0.0,221.06632628989806,60.0,-652.5,-592.5,,11207.304190946237,630.0,2985.0,3615.0,AG2509.SHF,AG2509C9400.SHF,AG2509P9400.SHF,0.5268621813699953,0.5268621813699953,0.0,0.0,0.0,0.10538297457149971,mtm
2025-08-18,2025-08-18T09:30:00.000000,988865.8065676371,9979.126355459837,975264.1802121851,-57.244142581029394,-64.7441425810294,-52.5,60.0,7.5,1159.372135621166,0.0,0.0,0.0,-68.805699865234,-52.5,60.0,7.5,,9979.126355459837,577.5,3045.0,3622.5,AG2509.SHF,AG2509C9400.SHF,AG2509P9400.SHF,4.061557284204612,4.061557284204612,0.0,0.0,0.0,0.812392696111046,mtm
2025-08-18,2025-08-18T09:45:00.000000,988976.5239644378,10089.876163000226,975189.1478014453,111.06187666809983,36.06187666809983,7.5,67.5,75.0,-75.03241073975082,0.0,0.0,0.0,35.71739680063835,7.5,67.5,75.0,,10089.876163000226,585.0,3112.5,3697.5,AG2509.SHF,AG2509C9400.SHF,AG2509P9400.SHF,0.34447986746148324,0.34447986746148324,0.0,0.0,0.0,0.06888908458388932,mtm
2025-08-18,2025-08-18T10:00:00.000000,988936.8940783871,10100.807773144923,975251.08630525,-39.629886050757676,72.87011394924232,30.0,-142.5,-112.5,61.938503804543714,0.0,0.0,0.0,72.87011394924032,30.0,-142.5,-112.5,,10100.807773144923,615.0,2970.0,3585.0,AG2509.SHF,AG2509C9400.SHF,AG2509P9400.SHF,2.0082945006993924e-12,2.0082945006993924e-12,0.0,0.0,0.0,4.016187382656471e-13,mtm
2025-08-18,2025-08-18T10:15:00.000000,988974.7217726517,9417.221805851756,975844.9999668077,40.055863260904005,-87.44413673909601,-52.5,180.0,127.5,593.9136615577858,0.0,0.0,0.0,-89.67230573538161,-52.5,180.0,127.5,,9417.221805851756,562.5,3150.0,3712.5,AG2509.SHF,AG2509C9400.SHF,AG2509P9400.SHF,2.2281689962856097,2.2281689962856097,0.0,0.0,0.0,0.44567836709396624,mtm
2025-08-18,2025-08-18T10:45:00.000000,988963.0627038229,10078.944552856825,975126.6181509739,-9.432386199762902,-54.43238619976291,-22.5,67.5,45.0,-718.3818158338202,0.0,0.0,0.0,-56.659068828750854,-22.5,67.5,45.0,,10078.944552856825,540.0,3217.5,3757.5,AG2509.SHF,AG2509C9400.SHF,AG2509P9400.SHF,2.226682628987946,2.226682628987946,0.0,0.0,0.0,0.4452919965981612,mtm
2025-08-18,2025-08-18T11:00:00.000000,989023.8060745539,10295.557277099431,974858.2487974623,61.49092023552686,-51.009079764473135,-22.5,135.0,112.5,-268.3693535115578,0.0,0.0,0.0,-51.75662926895138,-22.5,135.0,112.5,,10295.557277099431,517.5,3352.5,3870.0,AG2509.SHF,AG2509C9400.SHF,AG2509P9400.SHF,0.7475495044782452,0.7475495044782452,0.0,0.0,0.0,0.14949495140050473,mtm
2025-08-18,2025-08-18T11:15:00.000000,989006.9196364209,10861.488717003378,974290.4309194254,-15.0,0.0,-15.0,0.0,-15.0,-567.8178780369599,0.0,0.0,0.0,-1.8864381330131612,-15.0,0.0,-15.0,,10861.488717003378,502.5,3352.5,3855.0,AG2509.SHF,AG2509C9400.SHF,AG2509P9400.SHF,1.8864381330131612,1.8864381330131612,0.0,0.0,0.0,0.37724990161246025,mtm
2025-08-18,2025-08-18T11:30:00.000000,988992.9958931814,10863.939115249783,974311.5567779395,-13.923743239475293,23.576256760524707,37.5,-75.0,-37.5,21.125858514119905,0.0,0.0,0.0,23.576256760524707,37.5,-75.0,-37.5,,10863.939115249783,540.0,3277.5,3817.5,AG2509.SHF,AG2509C9400.SHF,AG2509P9400.SHF,0.0,0.0,0.0,0.0,0.0,0.0,mtm
2025-08-18,2025-08-18T13:45:00.000000,988969.6539068216,10078.021907908964,975134.1319989206,-20.70623873245883,39.29376126754117,30.0,-90.0,-60.0,822.5752209809834,0.0,0.0,0.0,36.658013640164484,30.0,-90.0,-60.0,,10078.021907908964,570.0,3187.5,3757.5,AG2509.SHF,AG2509C9400.SHF,AG2509P9400.SHF,2.6357476273766913,2.6357476273766913,0.0,0.0,0.0,0.5272022456997785,mtm
2025-08-18,2025-08-18T14:00:00.000000,989087.2578346733,10233.628573809023,975043.6292608721,118.08310255432201,65.58310255432201,37.5,15.0,52.5,-90.50273804843091,0.0,0.0,0.0,65.10392785162803,37.5,15.0,52.5,,10233.628573809023,607.5,3202.5,3810.0,AG2509.SHF,AG2509C9400.SHF,AG2509P9400.SHF,0.4791747026939782,0.4791747026939782,0.0,0.0,0.0,0.09582535800306634,mtm
2025-08-18,2025-08-18T14:15:00.000000,989034.7156400098,10083.486619929303,975163.7290200886,-52.06332340419702,-29.563323404197025,-22.5,0.0,-22.5,120.09975921633531,0.0,0.0,0.0,-30.04219466338464,-22.5,0.0,-22.5,,10083.486619929303,585.0,3202.5,3787.5,AG2509.SHF,AG2509C9400.SHF,AG2509P9400.SHF,0.4788712591876172,0.4788712591876172,0.0,0.0,0.0,0.0957838302205325,mtm
2025-08-18,2025-08-18T14:30:00.000000,989056.1506969845,10090.969324015432,975192.6813729771,21.435056974623336,36.435056974623336,7.5,-22.5,-15.0,28.952352888493536,0.0,0.0,0.0,36.4350569746227,7.5,-22.5,-15.0,,10090.969324015432,592.5,3180.0,3772.5,AG2509.SHF,AG2509C9400.SHF,AG2509P9400.SHF,6.418745358977019e-13,6.418745358977019e-13,0.0,0.0,0.0,1.2836207097243988e-13,mtm
2025-08-18,2025-08-18T14:45:00.000000,989181.7337995388,10098.787813586252,975250.4459859605,125.58310255432325,65.58310255432325,60.0,0.0,60.0,57.76461298350259,0.0,0.0,0.0,65.58310255432261,60.0,0.0,60.0,,10098.787813586252,652.5,3180.0,3832.5,AG2509.SHF,AG2509C9400.SHF,AG2509P9400.SHF,6.423718607040386e-13,6.423718607040386e-13,0.0,0.0,0.0,1.2848722086276449e-13,mtm
2025-08-18,2025-08-18T15:00:00.000000,989043.0101226162,9436.611404281663,975961.3987183425,-136.4909202355273,51.00907976447267,67.5,-255.0,-187.5,710.9527323819519,0.0,0.0,0.0,48.77632307736246,67.5,-255.0,-187.5,,9436.611404281663,720.0,2925.0,3645.0,AG2509.SHF,AG2509C9400.SHF,AG2509P9400.SHF,2.2327566871102116,2.2327566871102116,0.0,0.0,0.0,0.4465959970215393,mtm
2025-08-18,2025-08-18T21:00:00.000000,989081.0861180266,8618.246163549808,976817.8399544848,40.824289649822184,40.824289649822184,0.0,0.0,0.0,856.441236142294,0.0,0.0,0.0,38.07599541043891,0.0,0.0,0.0,,8618.246163549808,720.0,2925.0,3645.0,AG2509.SHF,AG2509C9400.SHF,AG2509P9400.SHF,2.74829423938328,2.74829423938328,0.0,0.0,0.0,0.5497138192590504,mtm
2025-08-18,2025-08-18T21:15:00.000000,988975.5168703852,8604.133014479963,976726.3838559132,-105.56924764153834,-105.56924764153834,-105.0,105.0,0.0,-91.45609857169467,0.0,0.0,0.0,-105.5692476415391,-105.0,105.0,0.0,,8604.133014479963,615.0,3030.0,3645.0,AG2509.SHF,AG2509C9400.SHF,AG2509P9400.SHF,7.65282752335228e-13,7.65282752335228e-13,0.0,0.0,0.0,1.5304124634242436e-13,mtm
