trade_date,bar_ts,future_ts_code,future_close,future_per_unit,call_ts_code,call_close,put_ts_code,put_close,option_per_unit,rate,ttm,iv_call_used,iv_put_used,delta_call,delta_put,combo_delta,target_future_position
2025-05-29,2025-05-29T23:45:00.000000,AG2507.SHF,8222.0,15.0,AG2507C8300.SHF,118.5,AG2507P8300.SHF,195.0,15.0,0.00016540913705583756,0.07123287671232877,0.1647813566029072,0.1743304046988487,0.4590824746854615,-0.5350997810007904,-0.07601730631532888,0.07601730631532888
2025-05-30,2025-05-30T15:00:00.000000,AG2507.SHF,8212.0,15.0,AG2507C8300.SHF,107.0,AG2507P8300.SHF,206.0,15.0,0.00016592639593908634,0.0684931506849315,0.17563609927892682,0.17403658486902712,0.3775986355799888,-0.6224802733075131,-0.2448816377275243,0.2448816377275243
2025-06-03,2025-06-03T23:45:00.000000,AG2507.SHF,8456.0,15.0,AG2507C8300.SHF,246.0,AG2507P8300.SHF,92.5,15.0,0.00015964822335025382,0.057534246575342465,0.1705782230198383,0.18405612722039216,0.7106592080191472,-0.3464348891266354,0.3642243188925118,-0.3642243188925118
2025-06-04,2025-06-04T23:45:00.000000,AG2507.SHF,8451.0,15.0,AG2507C8300.SHF,234.0,AG2507P8300.SHF,87.0,15.0,0.00015920812182741118,0.0547945205479452,0.1940200547873974,0.1974102585017681,0.6398520702289988,-0.36000026030155496,0.27985180992744385,-0.27985180992744385
2025-06-05,2025-06-05T23:45:00.000000,AG2507.SHF,8696.0,15.0,AG2507C8300.SHF,443.5,AG2507P8300.SHF,57.0,15.0,0.0001599832487309645,0.052054794520547946,0.1869456051290035,0.19243848063051694,0.8944373891248708,-0.13816479783208663,0.7562725912927841,-0.7562725912927841
2025-06-06,2025-06-06T23:45:00.000000,AG2507.SHF,8813.0,15.0,AG2507C8300.SHF,543.5,AG2507P8300.SHF,43.0,15.0,0.00015955532994923858,0.049315068493150684,0.23366000756621355,0.2504312677681446,0.8955536032847087,-0.15051349844709916,0.7450401048376095,-0.7450401048376095
2025-06-07,2025-06-07T02:30:00.000000,AG2507.SHF,8793.0,15.0,AG2507C8300.SHF,553.0,AG2507P8300.SHF,41.5,15.0,0.02,0.04657534246575343,0.24266657799482344,0.27013758301734925,0.8798851968824317,-0.14652596693191505,0.7333592299505167,-0.7333592299505167
2025-06-09,2025-06-09T23:45:00.000000,AG2507.SHF,8948.0,15.0,AG2507C8300.SHF,670.0,AG2507P8300.SHF,25.5,15.0,0.0001559776649746193,0.0410958904109589,0.29534034699201583,0.27071463644504545,0.8962679243363458,-0.06907636186040067,0.8271915624759452,-0.8271915624759452
2025-06-10,2025-06-10T23:45:00.000000,AG2507.SHF,8861.0,15.0,AG2507C8300.SHF,568.0,AG2507P8300.SHF,22.0,15.0,0.0001544,0.038356164383561646,0.28324784547090526,0.2941061761975288,0.8958702830997857,-0.10393806504471344,0.7919322180550722,-0.7919322180550722
2025-06-11,2025-06-11T23:45:00.000000,AG2507.SHF,8821.0,15.0,AG2507C8300.SHF,543.5,AG2507P8300.SHF,18.5,15.0,0.00015517142857142857,0.03561643835616438,0.2020801508426666,0.2646111547946929,0.9553829064375503,-0.10463090161375653,0.8507520048237938,-0.8507520048237938
2025-06-12,2025-06-12T23:45:00.000000,AG2507.SHF,8780.0,15.0,AG2507C8300.SHF,489.0,AG2507P8300.SHF,15.0,15.0,0.00015309999999999998,0.03287671232876712,0.2622872248291969,0.24921610474586484,0.8951518297221276,-0.10506292020365315,0.7900889095184744,-0.7900889095184744
2025-06-13,2025-06-13T23:45:00.000000,AG2507.SHF,8804.0,15.0,AG2507C8300.SHF,514.0,AG2507P8300.SHF,16.0,15.0,0.0001528,0.030136986301369864,0.2047885656356811,0.23248985826969143,0.9552595761849227,-0.07004772031340697,0.8852118558715157,-0.8852118558715157
2025-06-14,2025-06-14T02:30:00.000000,AG2507.SHF,8828.0,15.0,AG2507C8300.SHF,539.0,AG2507P8300.SHF,14.0,15.0,0.02,0.0273972602739726,0.22698347568511962,0.25551695883274084,0.9566999406624828,-0.06820973487290044,0.8884902057895823,-0.8884902057895823
