trade_date,bar_ts,nav,margin_by_future,cash,pnl,pnl_future,pnl_call,pnl_put,pnl_option,cash_future,cash_call,cash_put,cash_option,nav_future,nav_call,nav_put,nav_option,capital_used,capital_future,capital_call,capital_put,capital_option,future_ts_code,call_ts_code,put_ts_code,fee,fee_future,fee_call,fee_put,fee_option,slippage,theta_loss,name
2025-05-22,2025-05-22T15:00:00.000000,992853.7768917038,981.7835151436559,982884.2146411991,34.580687623844824,22.168513214947282,212.36694047727184,-199.95476606837428,12.412174408897556,21.550179300504954,0.0,0.0,0.0,22.16011724355541,212.36694047727184,-199.95476606837428,12.412174408897556,,981.7835151436559,4411.370282299282,4576.408453063336,8987.778735362619,AG2507.SHF,AG2507C8300.SHF,AG2507P8300.SHF,0.008395971391875257,0.008395971391875257,0.0,0.0,0.0,0.0016793622145973837,-192.0070202587553,mtm
2025-05-23,2025-05-23T15:00:00.000000,993256.0117620237,947.685097974913,982891.3627961867,402.3351080406801,-26.85002446026909,-40.40087087696321,469.5860033779124,429.1851325009492,7.1481549876402575,0.0,0.0,0.0,-26.950262181102655,-40.40087087696321,469.5860033779124,429.1851325009492,,947.685097974913,4370.969411422318,5045.994456441248,9416.963867863567,AG2507.SHF,AG2507C8300.SHF,AG2507P8300.SHF,0.10023772083356597,0.10023772083356597,0.0,0.0,0.0,0.020049549121601323,-198.9950279546963,mtm
2025-05-26,2025-05-26T15:00:00.000000,991208.6139661354,1103.088818220085,982746.1629175915,-2046.8857738083757,10.715863729840605,-923.8265313809507,-1133.7751061572656,-2057.601637538216,-145.19987859523982,0.0,0.0,0.0,10.203841649932112,-923.8265313809507,-1133.7751061572656,-2057.601637538216,,1103.088818220085,3447.1428800413682,3912.2193502839827,7359.3622303253505,AG2507.SHF,AG2507C8300.SHF,AG2507P8300.SHF,0.5120220799084916,0.5120220799084916,0.0,0.0,0.0,0.10239417656404481,-642.161371239225,mtm
2025-05-27,2025-05-27T15:00:00.000000,989907.7645065545,1192.148675109693,982604.3143383249,-1300.526357957678,-52.46562075358958,-1066.501273355781,-181.55946384830756,-1248.0607372040886,-141.84857926648743,0.0,0.0,0.0,-52.78872237687944,-1066.501273355781,-181.55946384830756,-1248.0607372040886,,1192.148675109693,2380.6416066855872,3730.659886435675,6111.301493121262,AG2507.SHF,AG2507C8300.SHF,AG2507P8300.SHF,0.32310162328985875,0.32310162328985875,0.0,0.0,0.0,0.06461386327163772,-185.00630969761445,mtm
2025-05-28,2025-05-28T15:00:00.000000,989546.4525707865,1219.831957704283,982581.3809443682,-361.22207827440474,4.839746131394546,-145.53187643424081,-220.52994797155847,-366.06182440579926,-22.933393956791168,0.0,0.0,0.0,4.749888637798915,-145.53187643424081,-220.52994797155847,-366.06182440579926,,1219.831957704283,2235.1097302513463,3510.129938464117,5745.239668715463,AG2507.SHF,AG2507C8300.SHF,AG2507P8300.SHF,0.08985749359563087,0.08985749359563087,0.0,0.0,0.0,0.0179697017489516,-156.96843303667706,mtm
2025-05-29,2025-05-29T15:00:00.000000,989167.8445302662,1248.310068479456,982554.7885434453,-378.51410340673874,1.9796469656410838,-175.23788920908103,-205.25586116329876,-380.4937503723798,-26.592400922984027,0.0,0.0,0.0,1.8857098521890105,-175.23788920908103,-205.25586116329876,-380.4937503723798,,1248.310068479456,2059.8718410422653,3304.874077300818,5364.745918343084,AG2507.SHF,AG2507C8300.SHF,AG2507P8300.SHF,0.09393711345207331,0.09393711345207331,0.0,0.0,0.0,0.01878554413601064,-153.09933102949898,mtm
2025-05-30,2025-05-30T15:00:00.000000,989174.8482136575,1246.8971955931752,982551.136643906,7.0050293839508555,-5.063426432820009,-31.505627185028686,43.57408300179955,12.068455816770864,-3.651899539281686,0.0,0.0,0.0,-5.064772425562552,-31.505627185028686,43.57408300179955,12.068455816770864,,1246.8971955931752,2028.3662138572365,3348.448160302618,5376.814374159854,AG2507.SHF,AG2507C8300.SHF,AG2507P8300.SHF,0.001345992742542985,0.001345992742542985,0.0,0.0,0.0,0.0002692254710558066,-148.40676721989908,mtm
2025-06-03,2025-06-03T15:00:00.000000,989540.9792723836,5361.485932621216,978647.2457654492,388.27541195059166,232.84221179581053,1802.6786030900662,-1647.245402935285,155.43320015478116,-3903.890878456733,0.0,0.0,0.0,210.6978585713086,1802.6786030900662,-1647.245402935285,155.43320015478116,,5361.485932621216,3831.044816947303,1701.2027573673327,5532.247574314635,AG2507.SHF,AG2507C8300.SHF,AG2507P8300.SHF,22.144353224501955,22.144353224501955,0.0,0.0,0.0,4.429313576255635,-618.3661862688956,mtm
2025-06-04,2025-06-04T15:00:00.000000,989843.4377106653,5392.810225758336,978556.5650802033,302.5332147483308,-59.281615642174685,282.35460686259046,79.46022352791502,361.81483039050545,-90.68068524601108,0.0,0.0,0.0,-59.35639210889144,282.35460686259046,79.46022352791502,361.81483039050545,,5392.810225758336,4113.399423809893,1780.6629808952475,5894.062404705141,AG2507.SHF,AG2507C8300.SHF,AG2507P8300.SHF,0.07477646671675911,0.07477646671675911,0.0,0.0,0.0,0.014956789022263932,-174.52954207188134,mtm
2025-06-05,2025-06-05T15:00:00.000000,989621.9843669408,5382.36719738669,978532.9359816579,-221.3979280071524,-34.01671119971244,-30.064194868828054,-157.3170219386119,-187.38121680743996,-23.629098545448223,0.0,0.0,0.0,-34.07212691709382,-30.064194868828054,-157.3170219386119,-187.38121680743996,,5382.36719738669,4083.335228941065,1623.3459589566357,5706.6811878977005,AG2507.SHF,AG2507C8300.SHF,AG2507P8300.SHF,0.05541571738138057,0.05541571738138057,0.0,0.0,0.0,0.011082035272753525,-194.72902633516077,mtm
2025-06-06,2025-06-06T15:00:00.000000,991116.1297061746,15735.860925021576,966543.3877138973,1527.8594827973443,-1602.3403965622408,4400.3422786661695,-1270.1423993065841,3130.1998793595853,-11989.548267760658,0.0,0.0,0.0,-1636.054540125772,4400.3422786661695,-1270.1423993065841,3130.1998793595853,,15735.860925021576,8483.677507607235,353.20355965005155,8836.881067257287,AG2507.SHF,AG2507C8300.SHF,AG2507P8300.SHF,33.71414356353132,33.71414356353132,0.0,0.0,0.0,6.743503063015764,-196.68290636821843,mtm
2025-06-09,2025-06-09T15:00:00.000000,991540.7502768465,15868.841785492285,965733.9586799729,424.72570250310343,-676.3430416224386,977.9262738522948,123.14247027324724,1101.068744125542,-809.4290339243904,0.0,0.0,0.0,-676.4481734536818,977.9262738522948,123.14247027324724,1101.068744125542,,15868.841785492285,9461.60378145953,476.3460299232988,9937.949811382829,AG2507.SHF,AG2507C8300.SHF,AG2507P8300.SHF,0.10513183124321933,0.10513183124321933,0.0,0.0,0.0,0.021028469095556376,-305.9565384266347,mtm
2025-06-10,2025-06-10T15:00:00.000000,991767.4067696308,14004.408920029222,967830.0710447031,232.7629444237171,237.78595090647073,-155.9062873641676,150.88328088141398,-5.02300648275363,2096.1123647301883,0.0,0.0,0.0,231.67949926712572,-155.9062873641676,150.88328088141398,-5.02300648275363,,14004.408920029222,9305.697494095362,627.2293108047128,9932.926804900075,AG2507.SHF,AG2507C8300.SHF,AG2507P8300.SHF,6.106451639345008,6.106451639345008,0.0,0.0,0.0,1.2211682110475084,-144.3177857186659,mtm
